geography code,outcode,postcodes,Welsh speaking ability: Total: All usual residents aged 3 years and over,Welsh speaking ability: Cannot speak Welsh,Welsh speaking ability: Can speak Welsh
W00009564,CF1,"CF1 8DS, CF1 9AX, CF1 9AY, CF1 9BD, CF11 6DP, CF11 6DS, CF11 6DU, CF11 6DW, CF11 6DX, CF11 6DZ, CF11 6EA, CF11 9BE",341,288,53
W00009565,CF1,"CF1 8DQ, CF1 8DR, CF1 8JY, CF1 8JZ, CF1 8LA, CF1 8LE, CF1 8SU, CF11 6DQ, CF11 6DR, CF11 6EW, CF11 6EY, CF11 6JZ",383,332,51
W00010573,CF1,"CF1 1JU, CF1 1NZ, CF1 1PH, CF1 1SN, CF1 1UE, CF1 1UF, CF1 2DJ, CF1 2DN, CF1 2EA, CF1 2EE, CF1 2EN, CF1 2EY, CF1 2EZ, CF1 2RZ, CF1 2SE, CF1 2SJ, CF1 2SP, CF1 2SQ, CF1 2SR, CF1 2TB, CF1 2TH, CF1 2TJ, CF1 3BX, CF1 3QT, CF1 3SL, CF1 3SS, CF1 3SW, CF1 3SX, CF1 3XJ, CF1 3XL, CF1 4AA, CF1 4AB, CF1 4AF, CF1 4AG, CF1 4AH, CF1 4AJ, CF1 4AQ, CF1 4AR, CF1 4AS, CF1 4AT, CF1 4AU, CF1 4AW, CF1 4AX, CF1 4AY, CF1 4BE, CF1 4BH, CF1 4BJ, CF1 4BW, CF1 4BX, CF1 4BY, CF1 4BZ, CF1 4DA, CF1 4DR, CF1 4DS, CF1 4DW, CF1 4DX, CF1 4DY, CF1 4EA, CF1 4EB, CF1 4ED, CF1 4EE, CF1 4EF, CF1 4EG, CF1 4EH, CF1 4EP, CF1 4EQ, CF1 4ER, CF1 4ES, CF1 4HB, CF1 4HD, CF1 4HE, CF1 4HF, CF1 4HG, CF1 4HH, CF1 4JA, CF1 4JB, CF1 4LH, CF1 4LR, CF1 4NB, CF1 4ND, CF1 4NE, CF1 4NF, CF1 4NG, CF1 4NN, CF1 4NR, CF1 4NU, CF1 4NW, CF1 4NX, CF1 4PX, CF1 4QL, CF1 4RA, CF1 4RF, CF1 4RG, CF1 4RH, CF1 4RN, CF1 4RP, CF1 4RR, CF1 4RS, CF1 4RT, CF1 4RW, CF1 4RY, CF1 4SA, CF1 4SB, CF1 4SD, CF1 4SE, CF1 4SF, CF1 4SG, CF1 4SH, CF1 4SL, CF1 4SQ, CF1 4SS, CF1 4SU, CF1 4SX, CF1 4SY, CF1 4SZ, CF1 4TA, CF1 4TD, CF1 4TF, CF1 4TH, CF1 4TJ, CF1 4TL, CF1 4TN, CF1 4TP, CF1 4TQ, CF1 4TR, CF1 4TT, CF1 4TU, CF1 4TW, CF1 4TX, CF1 4TY, CF1 4TZ, CF1 4UD, CF1 4UE, CF1 4UF, CF1 4UG, CF1 4UH, CF1 4UJ, CF1 4UL, CF1 4UN, CF1 4UP, CF1 4UZ, CF1 4WA, CF1 4WB, CF1 4WD, CF1 4WE, CF1 4WG, CF1 4WZ, CF1 4XA, CF1 4XB, CF1 4XD, CF1 4XE, CF1 4XF, CF1 4XG, CF1 4XH, CF1 4XJ, CF1 4XL, CF1 4XN, CF1 4XP, CF1 4XQ, CF1 4XR, CF1 4XS, CF1 4XT, CF1 4XU, CF1 4XW, CF1 4XX, CF1 4XY, CF1 4XZ, CF1 6PS, CF10 1GG, CF10 1GJ, CF10 1GN, CF10 1GP, CF10 2AA, CF10 2AN, CF10 2AW, CF10 2AY, CF10 2AZ, CF10 2BU, CF10 2BW, CF10 2BX, CF10 2BY, CF10 2DB, CF10 2DP, CF10 2DQ, CF10 2DS, CF10 2DW, CF10 2DX, CF10 2DY, CF10 2DZ, CF10 2EA, CF10 2EB, CF10 2EH, CF10 2FN, CF10 2FR, CF10 2GA, CF10 2GB, CF10 2GD, CF10 2GE, CF10 2GF, CF10 2GG, CF10 2GH, CF10 2GQ, CF10 2GR, CF10 2GS, CF10 2NW, CF10 2PX, CF10 2QS, CF10 2QT, CF10 2QY, CF10 2RG, CF10 2RJ, CF10 2SD, CF10 2SF, CF10 2SS, CF10 2TA, CF10 2TJ, CF10 2TP, CF10 2TQ, CF10 2TR, CF10 2TS, CF10 2TU, CF10 2TZ, CF10 2UB, CF10 2UF, CF10 2UH, CF10 2UW, CF10 2WF, CF10 2XE, CF10 2XG, CF10 2XL, CF10 2XN, CF10 2YL",367,346,21
W00010154,CF1,"CF1 6JA, CF10 5AU, CF10 5AX, CF10 5FA, CF10 5UU",277,251,26
W00010153,CF1,"CF1 1NA, CF1 1NU, CF1 1PQ, CF1 1SE, CF1 2DP, CF1 2DR, CF1 2DS, CF1 2DW, CF1 2EP, CF1 2SY, CF1 2TD, CF1 2UZ, CF1 2XG, CF1 2XL, CF1 2YB, CF1 2YE, CF1 2YH, CF1 2YJ, CF1 2YQ, CF1 4DB, CF1 4DD, CF1 4DE, CF1 4DF, CF1 4DG, CF1 4DH, CF1 4DJ, CF1 4DL, CF1 4DP, CF1 4DQ, CF1 4DT, CF1 4TS, CF1 4UU, CF10 1AQ, CF10 1BF, CF10 1BL, CF10 1BN, CF10 1BQ, CF10 1BZ, CF10 1DS, CF10 1DT, CF10 1DU, CF10 1EF, CF10 1GA, CF10 1SL, CF10 1TA, CF10 1UR, CF10 1US, CF10 2DJ, CF10 2DL, CF10 2DN, CF10 2DR, CF10 2DT, CF10 2DU, CF10 2EF, CF10 2EJ, CF10 2EL, CF10 2ER, CF10 2EW, CF10 2LE, CF10 2SJ, CF10 2SL",233,213,20
W00010148,CF1,"CF1 7HW, CF11 7FD, CF11 7PD",160,143,17
W00010147,CF1,"CF1 5ED, CF1 5EX, CF10 4AA, CF10 4AU, CF10 4DJ, CF10 4DQ, CF10 4JY, CF10 4NF, CF10 4NH, CF10 4NJ, CF10 4NS, CF10 4QQ, CF10 4XX",231,208,23
W00010184,CF1,"CF1 5BJ, CF1 5BL, CF1 5BN, CF1 5BS, CF1 5BT, CF1 5EN, CF1 5EP, CF1 5EQ, CF1 5ER, CF1 5SU, CF1 5XA, CF1 5XD, CF1 5XE, CF1 5XG, CF1 5XJ, CF1 5XQ, CF1 5XR, CF1 5XU, CF1 5XW, CF1 5XX, CF1 5XZ, CF1 5YA, CF1 5YD, CF1 5YE, CF1 5YF, CF1 5YH, CF1 5YJ, CF1 5YL, CF1 5YN, CF1 5YP, CF1 5YQ, CF1 5YR, CF1 5YS, CF1 5YT, CF1 5YW, CF1 5YX, CF1 5YZ, CF1 6TN, CF10 4AB, CF10 4BN, CF10 4BT, CF10 4DN, CF10 4NN",278,252,26
W00010575,CF1,"CF1 6XE, CF1 6YY, CF1 6ZD, CF5 6FZ, CF5 6SG, CF5 6SH, CF5 6SL, CF5 6SN, CF5 6SP, CF5 6SQ, CF5 6ST, CF5 6SX, CF5 6SY, CF5 6TA, CF5 6TN, CF5 6TR, CF5 6TU, CF5 6TW, CF5 6TX",326,283,43
W00010140,CF1,"CF1 8TU, CF1 8UN, CF1 8UP, CF11 8BF, CF11 8DQ, CF11 8DT, CF11 8DU, CF11 8DW, CF11 8DX, CF11 8DY, CF11 8DZ, CF11 8SU",451,346,105
