outcode,total_households,Detached,Semi-Detached,Terraced,Flat
AL1,17252,2785,4295,3990,4876
AL10,13481,1286,3350,4853,3709
AL2,10228,3011,3137,1975,1645
AL3,11773,3077,3908,3146,1187
AL4,10621,2862,4100,1734,1646
AL5,11919,4619,3388,1685,1889
AL6,5924,3106,1339,836,461
AL7,15359,1294,3404,6338,3945
AL8,5318,957,1524,1798,916
AL9,4140,1591,1175,778,423
B1,7827,56,194,368,6680
B10,8642,647,1899,4532,1078
B11,14246,1168,3335,7742,1233
B12,7672,556,1120,2684,2632
B13,15773,2289,4430,3595,3812
B14,17714,1342,7261,5778,2755
B15,8477,1487,653,766,5289
B16,10689,775,1457,1922,4924
B17,11776,1770,3436,3427,2545
B18,7240,566,1417,2774,1994
B19,8153,506,1150,2713,3249
B2,486,2,2,3,355
B20,12530,2026,4192,3290,2238
B21,8690,744,2637,4131,754
B22,127,9,30,42,43
B23,22008,1660,7642,5449,5716
B24,11786,1425,5609,2646,1553
B25,6234,402,2296,2511,796
B26,14732,1077,9567,1824,1960
B27,11012,696,4302,3416,1753
B28,10479,1455,6242,1536,955
B29,16919,1301,6628,6082,2325
B3,948,2,3,8,791
B30,12998,1026,4497,4689,2104
B31,24733,2387,11422,5620,4662
B32,15839,1387,6600,4771,2794
B33,13243,690,5647,4275,2206
B34,8134,472,3501,2779,1203
B35,3744,123,960,1513,1109
B36,14049,1535,6364,3544,2452
B37,15041,1259,4286,5013,4340
B38,7704,1180,3005,2085,1258
B4,1255,52,95,62,935
B42,11089,807,7012,2044,1032
B43,12282,1855,6963,2126,1153
B44,13423,531,7254,4240,877
B45,13578,2795,5783,3014,1679
B46,6148,1805,2422,1128,638
B47,4551,1884,1675,498,314
B48,2315,729,936,423,109
B49,5621,2016,1864,1094,391
B5,4023,184,506,508,2721
B50,3127,1318,975,609,146
B6,5416,398,1012,2771,947
B60,13213,5235,4080,1846,1703
B61,10136,3140,3802,2128,900
B62,11383,3141,5238,1758,975
B63,15796,2368,8020,2824,2333
B64,8225,1358,3134,2021,1383
B65,10695,1524,5011,2604,1367
B66,10368,973,2189,4478,2198
B67,9745,610,4069,4089,733
B68,12385,1189,6898,2686,1416
B69,11321,1817,5489,1740,2074
B7,3102,149,475,725,1667
B70,12887,1374,4421,3642,2909
B71,12517,1268,6331,2212,2504
B72,5492,2175,1460,527,1069
B73,8456,2646,3567,735,1283
B74,13538,6014,4606,536,2214
B75,10921,3758,4576,1300,1176
B76,8106,3143,2946,802,1140
B77,23709,6257,9670,5323,2006
B78,10665,3104,4627,1896,805
B79,10571,3269,3655,1884,1445
B8,12015,1095,4011,5229,1230
B80,3662,994,1501,690,375
B9,6223,487,1881,2686,910
B90,20976,5932,9441,2258,3007
B91,14065,6636,3677,888,2633
B92,13670,2355,7580,1741,1643
B93,8289,4750,1884,683,800
B94,2977,1819,754,256,58
B95,3112,1025,865,534,347
B96,2171,1105,545,272,168
B97,15004,5052,4867,2379,2252
B98,19250,4208,5876,6646,2238
BA1,21399,3472,4149,5563,4305
BA10,2157,857,551,461,168
BA11,16353,4648,4855,4605,1536
BA12,13494,5038,4343,2715,956
BA13,9454,3451,3096,2020,580
BA14,22151,6983,6987,4950,2292
BA15,6426,2079,1854,1677,515
BA16,6096,1302,2415,1434,685
BA2,28836,5531,8434,9720,3402
BA20,6561,1839,1834,1059,1261
BA21,15078,2753,5590,4666,1743
BA22,7926,3462,2208,1695,295
BA3,15799,5189,5597,3487,1164
BA4,7837,2659,2568,1664,613
BA5,8768,2991,2805,1905,629
BA6,5802,2238,1554,1308,430
BA7,1795,524,549,507,160
BA8,2300,997,765,420,74
BA9,3279,1205,1117,531,322
BB0,123,4,11,45,57
BB1,26731,3844,9316,10848,2104
BB10,17563,2734,5277,7972,1296
BB11,10991,1082,3652,5109,817
BB12,15255,3651,4021,6476,757
BB18,8021,1309,1888,4210,343
BB2,24160,4480,7376,9416,2337
BB3,14556,2373,3376,7226,1199
BB4,18187,4113,4561,7368,1576
BB5,25869,3324,6805,13173,2087
BB6,10742,2918,2607,4117,714
BB7,11092,2956,3343,3564,793
BB8,10869,1233,2394,6076,878
BB9,16728,1940,4238,9259,980
BD1,5123,140,576,1027,2390
BD10,13562,2504,6036,2780,1900
BD11,5846,1440,2414,1557,333
BD12,8213,1231,3864,2423,566
BD13,13262,3083,4655,4575,583
BD14,3543,646,1224,1174,428
BD15,6997,1278,3487,1490,631
BD16,12207,2831,3912,3192,1587
BD17,8857,2013,3258,1439,1632
BD18,11588,1055,4898,3527,1504
BD19,9760,2375,3393,2568,1186
BD2,11449,975,6117,3154,936
BD20,17484,4305,6026,5635,805
BD21,10991,842,2776,5429,1358
BD22,10899,1832,4085,4211,479
BD23,13914,3343,3980,4824,787
BD24,2228,640,593,712,140
BD3,9643,445,2208,5563,1161
BD4,13097,1519,5564,3934,1824
BD5,9670,502,2668,4810,1326
BD6,12368,1334,7001,3138,740
BD7,9720,683,2731,5125,767
BD8,9450,656,2522,4164,1624
BD9,7515,1019,3033,2370,729
BH1,14377,853,1098,848,8314
BH10,10306,5538,2064,670,1255
BH11,8480,2636,2927,1392,1391
BH12,16366,6015,4677,1512,3217
BH13,4036,1430,114,105,2118
BH14,10468,4394,1412,776,2892
BH15,15423,4275,3092,2526,4832
BH16,6632,2569,1766,1255,717
BH17,9853,3880,2753,2044,1088
BH18,4625,3725,383,82,340
BH19,5318,2018,985,742,943
BH2,5060,195,93,200,3551
BH20,8760,3283,2702,1827,599
BH21,23866,13467,4580,2886,2312
BH22,12566,7597,1506,869,1832
BH23,25078,10807,4954,4093,4182
BH24,10514,5867,2060,1037,899
BH25,11927,5799,1754,1691,2104
BH3,2791,1313,116,50,587
BH31,195,175,6,14,0
BH4,4314,369,121,156,2593
BH5,5391,742,289,146,2630
BH6,10695,4409,1375,275,2707
BH7,3574,2038,618,126,420
BH8,11961,3794,2010,1515,3085
BH9,10565,5716,1747,490,1144
BL0,8479,2202,2381,3009,642
BL1,28908,4210,8190,10956,4524
BL11,106,11,4,21,24
BL2,20606,3554,8430,6423,1778
BL3,25279,3420,9381,9523,2567
BL4,14004,895,6538,4640,1692
BL5,12232,3813,4352,2909,1047
BL6,13124,3324,4279,4180,1094
BL7,6136,2276,1576,1737,339
BL8,14898,4749,5131,3911,880
BL9,21536,2987,7903,7110,2923
BN1,38169,3472,7272,7913,10268
BN10,8777,3327,2568,1129,1358
BN11,17858,1532,2223,2991,6895
BN12,10367,4508,2786,1275,1467
BN13,13111,3629,4538,2668,1956
BN14,12640,3421,3100,3304,1808
BN15,12278,2284,4909,2416,2111
BN16,13834,5407,3099,2889,2108
BN17,13873,2364,3829,3823,2526
BN18,6164,2049,1937,1378,464
BN2,39928,5605,7069,9775,10958
BN20,11843,3693,2700,1573,2496
BN21,11626,1539,1079,1463,4951
BN22,13638,1841,3963,4891,2221
BN23,13090,2957,3646,3297,2951
BN24,3845,1792,1266,386,265
BN25,11397,5200,2300,1410,1800
BN26,6223,1888,2759,710,662
BN27,13685,4763,4538,2372,1216
BN3,37006,3437,6842,4075,11324
BN4,25701,4958,9433,6384,3622
BN41,672,110,264,90,187
BN42,119,16,57,20,25
BN43,1240,236,302,181,492
BN44,270,83,44,53,88
BN5,3440,1418,1099,481,303
BN6,7735,3246,2589,919,674
BN7,8879,1761,2530,2671,1382
BN8,6878,3000,2379,993,276
BN9,5717,1069,1678,1509,911
BR1,26030,3688,5995,8180,5833
BR2,20361,4173,6406,3641,5119
BR3,21575,2169,4443,5753,7311
BR4,7087,1049,3891,994,838
BR5,20862,2801,9874,4293,3344
BR6,18250,6268,6842,2862,1743
BR7,7385,2231,1842,1647,1276
BR8,9763,1609,4043,2538,1329
BS0,129,14,34,61,18
BS1,10306,117,250,637,7037
BS10,14006,1825,5120,3404,3010
BS11,7709,429,2990,2121,1789
BS12,32406,9754,10465,8049,3134
BS13,14187,772,5192,4334,3119
BS14,13280,1614,6313,3304,1672
BS15,35674,6209,13276,11072,3767
BS16,34832,6507,11795,9295,5559
BS17,22912,7024,8060,5970,1287
BS18,23838,8902,7729,4271,2063
BS19,15606,7263,5222,1905,893
BS2,8010,215,601,2505,3440
BS20,14524,5417,3722,1929,2887
BS21,10454,2786,3272,2048,1132
BS22,17657,5481,6659,3428,1386
BS23,17188,1844,3983,2049,4598
BS24,10647,3993,3360,2107,742
BS25,2031,1328,410,104,134
BS26,1741,894,373,279,81
BS27,2988,1373,855,379,261
BS28,1377,984,267,81,14
BS3,17730,397,3120,8657,3426
BS31,727,177,227,88,150
BS32,827,273,128,136,288
BS34,2339,401,589,643,690
BS35,360,136,140,50,31
BS36,108,81,23,3,0
BS37,755,101,286,161,202
BS39,370,35,54,143,137
BS4,19552,946,6935,7728,2458
BS49,138,22,39,27,50
BS5,21424,950,3114,10184,5078
BS6,14684,595,2885,3090,2240
BS7,14559,502,4030,6622,1716
BS8,10389,710,678,1611,2747
BS9,11578,2759,5061,1378,1669
CA1,11902,1378,3903,4466,1467
CA10,7546,3587,2095,1325,294
CA11,10370,3359,3454,2124,990
CA12,3420,998,964,869,385
CA13,7532,2683,2538,1528,504
CA14,16677,3466,6283,5550,1037
CA15,7338,1594,2471,2708,384
CA16,2621,940,983,459,153
CA17,2104,829,560,557,79
CA18,240,112,58,49,14
CA19,715,391,241,63,6
