outcode,Sex: All persons; measures: Value,Sex: Female; measures: Value,Sex: Male; measures: Value,Age: Aged 4 years and under,Age: Aged 5 to 9 years,Age: Aged 10 to 14 years,Age: Aged 15 to 19 years,Age: Aged 20 to 24 years,Age: Aged 25 to 29 years,Age: Aged 30 to 34 years,Age: Aged 35 to 39 years,Age: Aged 40 to 44 years,Age: Aged 45 to 49 years,Age: Aged 50 to 54 years,Age: Aged 55 to 59 years,Age: Aged 60 to 64 years,Age: Aged 65 to 69 years,Age: Aged 70 to 74 years,Age: Aged 75 to 79 years,Age: Aged 80 to 84 years,Age: Aged 85 years and over,median_age
AL1,41617,21131,20486,2796,2821,2684,2013,1731,3036,3518,3440,3408,3244,2794,2532,1880,1487,1447,1016,863,919,37
AL10,40391,20096,20295,2139,2285,2080,3789,6715,3246,3070,2903,2603,2223,2083,1861,1497,1083,993,665,541,630,27
AL2,25606,13123,12483,1376,1554,1638,1351,1217,1347,1406,1581,1731,1826,1904,1895,1568,1329,1392,1038,738,717,42
AL3,29640,15348,14292,1770,1995,2146,1750,1100,1241,1630,1845,2310,2296,2299,2019,1655,1386,1448,1140,712,865,42
AL4,27200,13891,13309,1439,1944,2270,1683,1124,1038,1221,1574,2104,2263,2230,1885,1581,1294,1251,905,692,757,42
AL5,31029,15807,15222,1694,2422,2818,1849,1027,1088,1263,1797,2499,2661,2580,2180,1713,1315,1361,1095,834,874,42
AL6,14724,7527,7197,646,810,871,750,627,645,675,734,878,982,1155,1237,1088,912,912,715,520,546,47
AL7,36802,18832,17970,2482,2577,2433,1965,1811,2584,2931,3019,2691,2382,2475,2300,1988,1527,1264,896,667,852,37
AL8,12579,6580,5999,669,803,812,686,528,560,654,761,857,876,883,996,763,582,696,541,441,455,42
AL9,10506,5384,5122,459,545,618,586,613,559,595,571,644,684,758,816,764,566,600,460,348,305,47
B1,14345,6717,7628,577,391,309,642,2660,3049,2108,1309,788,587,527,465,328,216,151,103,60,76,27
B10,32879,16546,16333,2524,2874,3203,3220,2888,2316,2245,2397,2176,2060,1852,1184,1112,873,571,432,448,491,27
B11,51321,25852,25469,4192,4294,4824,4761,4184,3620,3853,3883,3719,3151,2771,1980,1823,1459,957,706,577,564,27
B12,23579,11641,11938,1781,1769,1956,1938,2163,2085,1906,1775,1631,1309,1287,1011,885,694,480,332,283,313,32
B13,39044,19731,19313,2272,2557,2647,2252,2232,2847,2898,2864,2684,2543,2652,2259,2158,1857,1589,1010,816,845,37
B14,42877,21993,20884,2720,2986,2885,2464,2285,2842,3145,3010,2770,2670,2935,2891,2334,1894,1749,1352,1031,925,37
B15,25043,13103,11940,1033,1028,1006,5318,3386,2361,1975,1538,1279,990,1010,809,698,639,615,516,423,402,27
B16,25033,12121,12912,1407,1471,1350,1543,2937,2956,2525,2105,1829,1494,1370,1187,868,679,442,370,277,227,32
B17,28354,14421,13933,1598,1638,1469,1317,2458,2365,2394,2256,1955,1733,1606,1602,1316,1211,1177,856,671,719,37
B18,20142,9913,10229,1564,1532,1567,1574,1746,1894,1832,1602,1460,1169,1121,864,656,476,354,286,217,206,32
B19,26753,13480,13273,2155,2351,2338,2705,3049,1932,1838,1953,1892,1640,1342,1067,805,559,337,274,259,260,27
B2,684,314,370,6,7,4,21,176,184,85,50,37,27,26,19,12,4,3,8,3,17,27
B20,39965,19891,20074,2616,2800,2931,3249,3126,3113,2995,2838,2784,2481,2518,2209,1821,1520,985,683,640,630,32
B21,27352,13707,13645,1867,2227,2235,2210,2000,1860,2026,2030,1963,1859,1703,1477,1105,910,573,451,423,451,32
B22,255,138,117,17,12,14,8,13,18,29,17,13,13,12,13,13,14,17,12,10,7,37
