outcode,avg_asking_price,Avg asking rent(p/m),avg_gross_yield
AL1,617044,2148.0,4.18
AL10,396676,1549.0,4.69
AL2,642219,1962.0,3.67
AL3,797264,2332.0,3.51
AL4,749391,2350.0,3.76
AL5,779548,2433.0,3.75
AL6,951465,2809.0,3.54
AL7,354577,1510.0,5.11
AL8,559859,1592.0,3.41
AL9,928237,2423.0,3.13
B1,249170,1702.0,8.2
B10,247432,1041.0,5.05
B11,240753,1279.0,6.37
B12,232510,1251.0,6.46
B13,353095,1164.0,3.96
B14,290810,1177.0,4.86
B15,388035,1667.0,5.16
B16,238722,1410.0,7.09
B17,462061,1606.0,4.17
B18,235983,1446.0,7.35
B19,261398,1309.0,6.01
B2,198645,1076.0,6.5
B20,334880,1059.0,3.79
B21,248552,1295.0,6.25
B23,201428,972.0,5.79
B24,273039,1258.0,5.53
B25,256626,1426.0,6.67
B26,241759,1356.0,6.73
B27,257046,1330.0,6.21
B28,358586,1605.0,5.37
B29,391863,2193.0,6.72
B3,281252,1444.0,6.16
B30,308374,1197.0,4.66
B31,272396,1228.0,5.41
B32,262944,1310.0,5.98
B33,256867,1459.0,6.82
B34,243701,1189.0,5.85
B35,189358,3315.0,21.01
B36,330878,1788.0,6.48
B37,238848,1123.0,5.64
B38,333586,1025.0,3.69
B4,272319,1507.0,6.64
B42,233937,1268.0,6.5
B43,292075,1786.0,7.34
B44,214531,1334.0,7.46
B45,443974,1513.0,4.09
B46,488110,1454.0,3.57
B47,426096,1754.0,4.94
B48,631624,2183.0,4.15
B49,488171,1352.0,3.32
B5,217945,1557.0,8.57
B50,400111,1375.0,4.12
B6,199663,2087.0,12.54
B60,421963,1247.0,3.55
B61,413566,1395.0,4.05
B62,405121,1043.0,3.09
B63,280430,916.0,3.92
B64,265448,2100.0,9.49
B65,236848,1379.0,6.99
B66,235110,1493.0,7.62
B67,249095,1093.0,5.27
B68,270970,1041.0,4.61
B69,236157,881.0,4.48
B7,380818,2332.0,7.35
B70,215646,1332.0,7.41
B71,252448,1094.0,5.2
B72,433512,1263.0,3.5
B73,394060,1442.0,4.39
B74,699883,2224.0,3.81
B75,487628,1864.0,4.59
B76,411727,1618.0,4.72
B77,296115,966.0,3.91
B78,442234,1470.0,3.99
B79,404970,1051.0,3.11
B8,215486,1076.0,5.99
B80,419417,1162.0,3.32
B9,211444,1072.0,6.08
B90,364800,1420.0,4.67
B91,515375,1687.0,3.93
B92,382235,1379.0,4.33
B93,675928,1481.0,2.63
B94,882095,1946.0,2.65
B95,867032,1600.0,2.21
B96,565050,1500.0,3.19
B97,344815,912.0,3.17
B98,300625,951.0,3.8
BA1,704939,2662.0,4.53
BA10,698103,1870.0,3.21
BA11,508811,1636.0,3.86
BA12,401819,1383.0,4.13
BA13,363275,1268.0,4.19
BA14,371684,1110.0,3.58
BA15,521940,1588.0,3.65
BA16,381877,1549.0,4.87
BA2,620522,1846.0,3.57
BA20,342256,1217.0,4.27
BA21,299269,938.0,3.76
BA22,480217,1494.0,3.73
BA3,494647,1289.0,3.13
BA4,467175,1615.0,4.15
BA5,592993,1488.0,3.01
BA6,545110,1225.0,2.7
BA7,544056,1303.0,2.87
BA8,496121,1465.0,3.54
BA9,440980,1394.0,3.79
BB1,233105,1081.0,5.56
BB10,240210,604.0,3.02
BB11,159325,687.0,5.17
BB12,243685,642.0,3.16
BB18,265035,690.0,3.12
BB2,252037,1003.0,4.78
BB3,253014,898.0,4.26
BB4,352419,1010.0,3.44
BB5,179448,657.0,4.39
BB6,251624,990.0,4.72
BB7,428939,1335.0,3.73
BB8,260689,898.0,4.13
BB9,227384,707.0,3.73
BD1,63434,895.0,16.93
BD10,286609,983.0,4.12
BD11,354208,861.0,2.92
BD12,235864,853.0,4.34
BD13,255866,719.0,3.37
BD14,250670,946.0,4.53
BD15,285653,925.0,3.89
BD16,293348,957.0,3.91
BD17,335109,900.0,3.22
BD18,275024,754.0,3.29
BD19,311738,1049.0,4.04
BD2,216730,829.0,4.59
BD20,341906,811.0,2.85
BD21,192137,636.0,3.97
BD22,324463,788.0,2.91
BD23,458627,1535.0,4.02
BD24,384744,725.0,2.26
BD3,123967,956.0,9.25
BD4,231038,933.0,4.85
BD5,243851,619.0,3.05
BD6,192274,831.0,5.19
BD7,188373,679.0,4.33
BD8,173676,769.0,5.31
BD9,267024,801.0,3.6
BH1,315130,1280.0,4.87
BH10,357343,1475.0,4.95
BH11,370309,1343.0,4.35
BH12,361005,1453.0,4.83
BH13,1227209,2503.0,2.45
BH14,909558,1926.0,2.54
BH15,372952,1386.0,4.46
BH16,530367,1475.0,3.34
BH17,352698,1279.0,4.35
BH18,626338,2675.0,5.13
BH19,502499,980.0,2.34
BH2,305243,1410.0,5.54
BH20,631379,1600.0,3.04
BH21,618283,1839.0,3.57
BH22,466936,1504.0,3.87
BH23,541104,1590.0,3.53
BH24,663688,1960.0,3.54
BH25,470065,1614.0,4.12
BH3,632229,1529.0,2.9
BH31,468378,1525.0,3.91
BH4,466097,1301.0,3.35
BH5,334382,1234.0,4.43
BH6,524375,1533.0,3.51
BH7,470164,1320.0,3.37
BH8,420425,1485.0,4.24
BH9,381242,1705.0,5.37
BL0,371442,1273.0,4.11
BL1,304932,1011.0,3.98
BL2,276725,880.0,3.82
BL3,248600,791.0,3.82
BL4,217516,1095.0,6.04
BL5,357751,908.0,3.05
BL6,362038,1129.0,3.74
BL7,414506,998.0,2.89
BL8,360310,1088.0,3.62
BL9,321481,1084.0,4.05
BN1,527398,1930.0,4.39
BN10,386271,1950.0,6.06
BN11,363165,1789.0,5.91
BN12,491321,1332.0,3.25
BN13,475189,1706.0,4.31
BN14,458952,1094.0,2.86
BN15,368134,2075.0,6.76
BN16,633915,1578.0,2.99
BN17,330134,1303.0,4.74
BN18,543012,2096.0,4.63
BN2,522938,2153.0,4.94
BN20,541385,1411.0,3.13
BN21,345769,1388.0,4.82
BN22,332285,1191.0,4.3
BN23,330057,1408.0,5.12
BN24,368787,1304.0,4.24
BN25,450307,1491.0,3.97
BN26,570983,1857.0,3.9
BN27,491803,1413.0,3.45
BN3,584781,2080.0,4.27
BN41,372972,2045.0,6.58
BN42,598433,1334.0,2.67
BN43,479566,2487.0,6.22
BN44,619428,2050.0,3.97
BN5,741944,1810.0,2.93
BN6,640952,2515.0,4.71
BN7,628352,2103.0,4.02
BN8,770638,2117.0,3.3
BN9,322950,1043.0,3.88
BR1,604617,1986.0,3.94
BR2,710299,1885.0,3.18
BR3,616625,1863.0,3.63
BR4,592903,2235.0,4.52
BR5,604368,2097.0,4.16
BR6,917650,2235.0,2.92
BR7,973550,3267.0,4.03
BR8,454730,1689.0,4.46
BS1,398047,2137.0,6.44
BS10,410919,1930.0,5.64
BS11,330719,1477.0,5.36
BS13,316800,1564.0,5.92
BS14,347743,1568.0,5.41
BS15,327378,1733.0,6.35
BS16,392147,2217.0,6.78
BS2,334620,1942.0,6.96
BS20,439248,1835.0,5.01
BS21,496329,1140.0,2.76
BS22,349248,1211.0,4.16
BS23,286655,982.0,4.11
BS24,373020,1553.0,5.0
BS25,556611,1650.0,3.56
BS26,633052,1240.0,2.35
BS27,414686,1258.0,3.64
BS28,746709,1600.0,2.57
BS29,434590,1350.0,3.73
BS3,362765,2081.0,6.88
BS30,517585,1599.0,3.71
BS31,526466,1846.0,4.21
BS32,465399,1967.0,5.07
BS34,353369,2632.0,8.94
BS35,467276,1692.0,4.35
BS36,536263,1849.0,4.14
BS37,470376,1404.0,3.58
BS39,593644,2194.0,4.43
BS4,350152,1955.0,6.7
BS40,828506,1822.0,2.64
BS41,653905,1950.0,3.58
BS48,546150,2504.0,5.5
BS49,530743,1205.0,2.72
BS5,349060,2125.0,7.31
BS6,575841,2373.0,4.95
BS7,472279,2530.0,6.43
BS8,654994,2624.0,4.81
BS9,625861,2609.0,5.0
CA1,197523,722.0,4.39
CA10,507475,1199.0,2.84
CA11,428965,1512.0,4.23
CA12,514401,1500.0,3.5
CA13,341263,1790.0,6.29
CA14,239576,674.0,3.38
CA15,229103,795.0,4.16
CA16,432640,645.0,1.79
CA17,429688,965.0,2.69
CA2,189820,619.0,3.91
CA20,274237,675.0,2.95
CA22,256361,,
