outcode,Avg Listing sqft v/s Size(Small),Avg Sold sqft v/s Size(Medium),Avg Sold sqft v/s Size(Large)
AL1,924.6,494.18,258.22
AL10,558.37,341.04,171.41
AL2,904.0,501.38,280.44
AL3,1089.23,633.06,333.48
AL4,1023.83,585.05,322.32
AL5,1131.6,584.05,302.08
AL6,1267.57,669.65,371.4
AL7,519.37,307.17,160.3
AL8,825.59,448.39,239.69
AL9,1347.44,695.45,341.05
B1,406.12,212.37,115.45
B10,314.9,199.89,109.46
B11,313.61,191.17,105.5
B12,354.11,186.22,105.39
B13,546.73,275.68,144.6
B14,380.52,247.94,130.52
B15,581.45,305.51,137.33
B16,388.03,187.95,104.61
B17,629.79,366.9,192.5
B18,337.29,201.13,96.37
B19,373.61,215.29,114.42
B2,379.96,175.76,-
B20,478.64,268.2,141.42
B21,307.88,206.17,110.48
B23,284.59,173.27,89.11
B24,384.33,230.6,119.09
B25,326.6,222.82,115.18
B26,311.95,215.96,101.17
B27,361.82,214.12,111.55
B28,450.19,302.49,156.29
B29,508.67,319.35,167.82
B3,512.34,244.31,101.67
B30,409.27,260.44,134.82
B31,361.52,236.51,119.94
B32,334.64,234.89,118.58
B33,345.85,227.27,111.51
B34,314.45,213.59,107.05
B35,231.47,172.47,86.66
B36,421.09,287.29,144.66
B37,312.53,209.34,104.18
B38,424.54,286.96,136.83
B39,0.0,,
B4,617.06,221.92,94.4
B42,314.98,199.39,101.32
B43,364.37,253.59,127.09
B44,273.02,197.33,96.28
B45,572.87,371.59,164.99
B46,676.82,394.32,204.27
B47,547.1,344.22,183.27
B48,850.43,505.86,242.28
B49,686.69,387.63,193.02
B5,361.57,187.48,92.46
B50,531.02,312.37,168.96
B6,271.33,165.62,87.7
B60,593.96,337.95,172.69
B61,539.97,336.62,171.08
B62,508.61,336.04,166.54
B63,372.18,245.78,121.18
B64,376.5,232.65,117.43
B65,318.9,209.56,100.94
B66,330.95,202.25,100.69
B67,312.73,218.32,110.73
B68,347.8,237.49,115.21
B69,327.46,206.47,100.87
B7,508.62,334.87,151.23
B70,308.22,185.5,95.63
B71,339.9,221.27,104.24
B72,619.61,334.55,183.9
B73,546.41,310.25,172.68
B74,927.75,551.03,259.57
B75,620.58,390.54,203.15
B76,570.91,335.53,172.3
B77,382.08,250.09,131.63
B78,575.1,369.63,173.35
B79,561.54,327.16,166.84
B8,270.53,183.66,92.68
B80,565.94,339.92,163.72
B86,0.0,,
B9,272.83,180.22,94.9
B90,491.17,297.29,158.37
B91,704.11,380.0,210.92
B92,493.21,319.92,153.06
B93,910.08,498.38,266.88
B94,1164.71,645.27,312.49
B95,1209.45,682.63,301.35
B96,802.67,423.35,226.27
B97,500.54,281.0,149.69
B98,372.39,258.6,123.04
BA1,1073.62,559.75,278.68
BA10,949.58,535.56,274.81
BA11,719.92,414.65,201.15
BA12,557.17,316.36,162.31
BA13,511.35,290.94,148.42
BA14,515.38,297.68,157.67
BA15,702.75,410.93,215.22
BA16,554.17,313.96,159.09
BA2,835.48,505.69,250.65
BA20,521.25,280.99,141.01
BA21,410.08,255.05,125.89
BA22,619.63,370.51,193.97
BA27,,0.0,
BA3,647.24,399.6,204.24
BA35,0.0,,
BA39,0.0,,
BA4,663.64,361.68,182.36
BA5,822.25,459.09,242.69
BA6,772.75,429.17,226.08
BA7,747.03,435.73,215.08
BA8,622.85,387.32,190.46
BA9,611.47,346.87,167.9
BB1,288.75,193.36,96.25
BB10,309.95,201.05,99.63
BB11,217.67,135.8,67.9
BB12,314.43,203.77,100.62
BB18,346.8,221.83,112.43
BB2,320.76,209.06,98.38
BB23,,0.0,
BB3,322.0,217.65,103.74
BB4,474.5,287.2,138.73
BB5,222.67,154.36,74.76
BB6,299.7,210.6,101.64
BB7,569.28,343.31,168.86
BB8,345.98,218.19,106.69
BB9,285.47,192.04,96.46
BD1,137.05,51.25,25.29
BD10,385.9,239.88,120.59
BD11,485.36,281.26,148.87
BD12,314.33,201.03,99.58
BD13,360.16,203.5,103.8
BD14,367.61,202.5,107.07
BD15,379.12,234.44,122.86
BD16,412.92,230.96,122.21
BD17,478.97,261.97,141.63
BD18,399.23,209.43,115.09
BD19,445.56,249.54,130.05
BD2,287.64,181.4,89.11
BD20,453.78,271.12,140.55
BD21,266.42,151.27,82.26
BD22,436.86,266.76,131.63
BD23,617.5,361.08,180.54
BD24,558.5,292.98,152.62
BD3,164.99,95.97,55.1
BD4,311.07,196.92,99.37
BD5,343.25,191.99,103.92
BD6,266.61,163.88,84.06
BD7,257.36,143.45,80.28
BD8,260.41,131.18,69.85
BD9,393.77,192.31,109.28
BE37,0.0,,
BG8,,0.0,
BH1,574.05,266.15,134.29
BH10,477.85,301.8,155.86
BH11,510.31,324.56,163.51
BH12,508.16,314.59,157.46
BH13,1500.15,958.08,425.42
BH14,1337.47,698.35,372.25
BH15,541.38,317.87,162.81
BH16,714.1,432.22,220.9
BH17,489.06,300.61,159.06
BH18,775.85,473.08,260.94
BH19,694.08,402.45,211.24
BH2,545.35,255.48,127.74
BH20,826.98,505.67,255.03
BH21,844.71,478.67,254.16
BH22,610.98,361.5,197.18
BH23,739.26,437.13,229.54
BH24,880.84,501.29,263.5
BH25,632.91,376.47,200.78
BH3,947.36,428.73,253.59
BH31,623.14,366.03,206.72
BH4,696.96,386.62,178.13
BH5,593.33,274.91,134.77
BH6,798.62,412.85,222.45
BH7,713.72,360.99,210.5
BH8,662.01,333.83,174.37
BH9,553.41,313.44,176.21
BL0,492.98,302.7,156.03
BL1,444.17,248.5,123.17
BL2,372.59,240.27,115.8
BL23,0.0,,
BL3,339.64,209.96,108.94
BL4,288.69,192.46,87.1
BL5,478.49,302.15,150.05
BL6,487.46,297.65,144.35
BL7,534.85,323.93,163.17
BL8,471.46,296.23,147.46
BL9,439.21,271.51,131.57
BN1,874.94,426.06,223.69
BN10,552.09,326.23,174.63
BN11,602.48,293.42,156.5
BN12,625.28,393.49,216.33
BN13,637.96,391.23,204.38
BN14,636.39,368.59,194.69
BN15,507.46,316.67,157.25
BN16,817.95,512.11,257.17
BN17,471.86,273.84,132.77
BN18,700.66,434.89,213.76
BN19,0.0,,
BN2,793.12,434.05,217.22
BN20,718.52,429.88,226.56
BN21,573.62,276.92,142.14
BN22,453.97,285.84,144.25
BN23,431.88,276.55,140.51
BN24,482.08,297.93,155.03
BN25,606.3,363.78,188.45
BN26,803.73,461.27,227.32
BN27,652.72,393.88,200.39
BN3,920.81,468.35,239.33
BN41,502.18,323.83,148.71
BN42,751.3,505.42,246.0
BN43,655.19,387.42,209.17
BN44,871.92,487.68,249.67
BN45,0.0,0.0,0.0
BN5,998.97,569.66,292.69
BN6,827.03,496.22,257.78
BN67,0.0,,
BN7,896.71,486.46,252.16
BN8,994.37,586.84,299.56
BN9,428.62,280.4,130.17
BN91,,,0.0
BR1,864.17,480.09,238.52
BR15,0.0,,
BR2,999.83,570.89,293.28
BR20,0.0,,
BR23,0.0,,
BR27,,0.0,
BR3,923.98,481.4,258.05
BR4,918.05,459.02,270.01
BR5,802.11,510.43,268.65
BR6,1184.06,728.84,355.22
BR7,1292.09,741.36,373.74
BR76,,0.0,
BR8,603.51,387.57,189.44
BS1,725.09,326.21,165.09
BS10,545.37,356.78,179.68
BS11,432.74,291.87,135.35
BS13,420.45,283.0,140.65
BS14,455.02,301.93,144.87
BS15,434.49,284.25,144.83
BS16,535.76,322.4,171.85
BS17,,0.0,
BS2,597.48,285.2,143.26
BS20,612.72,345.83,182.38
BS21,700.98,396.72,205.85
BS22,484.27,292.31,152.41
BS23,436.57,231.57,120.5
BS24,488.09,309.39,158.24
BS25,787.55,413.69,239.4
BS26,828.34,470.5,247.11
BS27,583.72,318.39,175.92
BS28,985.39,526.38,296.46
BS29,544.14,360.49,179.44
BS3,526.59,312.06,157.49
BS30,699.01,421.8,212.77
BS31,690.83,414.49,222.09
BS32,730.23,375.97,190.47
BS34,475.78,301.18,160.14
BS35,602.94,361.76,196.43
BS36,647.49,425.82,229.59
BS37,590.53,386.72,193.47
BS39,785.91,467.84,235.19
BS4,478.38,298.44,151.47
BS40,1084.09,615.77,333.21
BS41,855.63,493.9,268.8
BS46,,0.0,
BS48,735.35,421.21,228.55
BS49,684.83,417.86,219.15
BS5,491.34,311.81,142.86
BS6,938.55,434.94,242.07
BS7,645.23,386.06,208.93
BS8,1014.19,520.09,255.68
BS81,0.0,,
BS87,0.0,,
BS9,818.93,476.59,258.42
C03,0.0,0.0,
C06,,0.0,
C07,,0.0,
C08,,0.0,
C09,,0.0,
C39,0.0,,
C6,,,0.0
CA1,269.86,167.13,80.95
CA10,637.84,377.17,203.57
CA11,594.81,332.1,176.34
CA12,724.08,399.85,208.69
CA13,459.48,259.87,141.54
CA14,309.13,196.97,98.92
CA15,295.62,188.36,95.06
CA16,599.91,329.45,175.52
CA17,554.44,327.21,169.15
CA18,0.0,0.0,0.0
CA19,0.0,0.0,0.0
CA2,257.14,162.01,82.02
CA20,353.85,217.76,109.81
CA21,0.0,0.0,0.0
CA22,317.05,218.5,100.07
CA23,0.0,0.0,0.0
CA24,0.0,0.0,0.0
CA25,299.53,188.2,102.0
CA26,280.1,166.24,90.08
CA27,393.28,213.36,121.43
CA28,281.53,185.03,89.03
CA3,348.24,213.83,105.07
CA4,750.75,444.45,237.42
CA5,504.0,291.37,161.35
CA6,460.72,271.9,143.6
CA7,349.84,209.33,113.34
CA8,702.06,412.33,222.66
CA9,307.06,171.95,91.08
CB1,749.8,428.29,222.84
CB10,938.4,532.21,272.7
CB11,1018.98,559.6,283.71
CB2,1011.13,589.5,285.89
CB21,827.13,488.14,261.2
CB22,899.17,524.51,263.35
CB23,706.55,415.62,221.79
CB24,613.25,347.51,193.96
CB25,612.21,365.27,192.33
CB27,,0.0,
CB3,1109.92,554.96,286.89
CB37,,,0.0
CB4,673.99,385.13,200.63
CB5,808.14,455.07,228.52
CB6,495.25,306.81,166.63
CB66,,0.0,
CB7,555.07,313.11,163.55
CB8,695.75,383.3,198.79
CB9,536.47,343.98,161.54
CF1,0.0,,
CF10,339.76,182.02,94.29
CF11,449.16,234.34,125.93
CF13,,,0.0
CF14,671.75,392.29,194.06
CF15,588.17,341.07,184.49
CF16,,0.0,
CF21,0.0,,
CF23,624.58,382.67,193.6
CF24,438.33,231.12,125.24
CF3,467.9,316.39,136.71
CF31,376.07,233.76,121.88
CF32,413.73,280.88,138.53
CF33,316.32,223.81,109.33
CF34,237.45,174.13,80.27
CF35,455.89,303.93,156.07
CF36,559.01,322.5,168.45
CF37,248.3,175.63,82.05
CF38,375.69,243.87,131.76
CF39,245.13,172.79,86.7
CF40,178.07,125.02,59.49
CF41,181.82,129.87,63.64
CF42,190.97,136.92,64.08
CF43,132.18,94.97,45.28
CF44,296.97,200.14,97.45
CF45,189.52,136.67,62.34
CF46,360.37,251.6,114.37
CF47,250.49,183.69,85.23
CF48,301.69,211.46,97.95
CF49,0.0,,
CF5,556.36,340.0,160.35
CF61,464.54,307.0,152.18
CF62,472.76,299.7,151.2
CF63,314.74,201.08,102.06
CF64,651.17,378.1,195.08
CF65,,0.0,
CF7,0.0,,
CF71,807.1,460.3,253.96
CF72,441.46,278.62,142.1
CF81,213.3,153.82,72.54
CF82,315.6,218.75,100.78
CF83,412.53,284.22,132.6
CF85,0.0,,
CH1,434.36,249.53,123.61
CH11,,,0.0
CH2,552.67,335.55,168.53
CH3,619.32,375.39,193.03
CH37,0.0,,
CH4,516.88,323.61,153.67
CH41,203.06,125.53,56.26
CH42,272.64,173.49,84.44
CH43,459.87,284.88,134.69
CH44,237.29,150.11,80.24
CH45,382.42,200.72,111.51
CH46,298.5,212.39,108.81
CH47,601.14,329.65,173.4
CH48,796.94,469.3,242.12
CH49,352.52,231.75,116.96
CH5,353.99,233.83,116.14
CH51,,0.0,
CH6,324.58,216.39,106.23
CH60,761.04,423.48,228.31
CH61,448.28,296.47,150.98
CH62,369.21,257.75,125.18
CH63,462.33,313.89,155.49
CH64,599.33,352.55,175.54
CH65,245.14,169.71,87.38
CH66,392.59,254.65,129.16
CH7,457.31,283.85,143.16
CH8,399.54,248.72,128.41
CL3,,0.0,
CM0,575.92,325.42,168.0
CM1,627.17,357.16,186.7
CM10,,0.0,
CM11,888.31,561.84,267.22
CM12,963.51,521.94,280.84
CM13,1093.41,625.64,308.92
CM14,809.22,440.1,224.98
CM15,948.16,529.39,287.31
CM16,1132.49,622.87,316.72
CM17,675.35,395.9,206.87
CM18,515.35,358.72,178.49
CM19,802.96,499.96,231.93
CM2,635.75,355.35,184.11
CM20,567.58,336.34,164.37
CM21,824.57,429.9,214.95
CM22,882.53,508.34,271.55
CM23,727.73,398.08,200.75
CM24,867.99,475.5,269.23
CM3,928.35,498.7,264.66
CM3B,,0.0,
CM4,1481.13,772.61,396.8
CM5,963.47,556.73,274.93
CM6,919.89,507.33,268.47
CM7,634.73,361.91,182.55
CM77,732.85,430.02,227.22
CM8,782.17,470.69,226.33
CM9,676.82,396.76,196.42
CN23,0.0,,
CN7,0.0,0.0,
CO01,0.0,0.0,
CO1,428.75,233.72,112.52
CO10,630.39,380.41,189.39
CO11,663.63,383.31,200.29
CO12,439.93,269.51,134.89
CO13,516.07,304.27,163.84
