outcode,Avg Sold sqft v/s Size(Small),Avg Sold sqft v/s Size(Medium),Avg Sold sqft v/s Size(Large)
AL1,935.75,500.14,261.33
AL10,778.04,475.2,238.84
AL2,669.86,371.52,207.81
AL3,685.46,398.39,209.86
AL4,640.64,366.09,201.69
AL5,975.65,503.57,260.45
AL6,788.41,416.52,231.01
AL7,597.53,353.4,184.42
AL8,721.42,391.81,209.44
AL9,954.48,492.63,241.59
B1,2785.66,1456.71,791.93
B10,212.06,134.61,73.71
B11,323.01,196.9,108.67
B12,485.66,255.39,144.54
B13,321.82,162.27,85.12
B14,230.38,150.12,79.02
B15,1262.58,663.39,298.21
B16,571.14,276.64,153.98
B17,367.78,214.25,112.41
B18,348.69,207.93,99.62
B19,259.72,149.66,79.54
B2,13636.53,6307.84,inf
B20,215.88,120.97,63.78
B21,177.68,118.98,63.76
B23,180.9,110.14,56.64
B24,498.42,299.05,154.44
B25,201.89,137.74,71.2
B26,442.62,306.43,143.55
B27,230.3,136.28,71.0
B28,245.84,165.19,85.35
B29,624.27,391.92,205.96
B3,9876.75,4709.82,1959.98
B30,259.31,165.02,85.42
B31,200.31,131.04,66.45
B32,197.97,138.96,70.15
B33,181.59,119.33,58.55
B34,147.22,100.0,50.12
B35,676.67,504.18,253.33
B36,190.07,129.67,65.29
B37,587.37,393.43,195.79
B38,216.88,146.59,69.9
B39,0.0,,
B4,32567.94,11713.08,4982.4
B42,241.63,152.96,77.73
B43,205.1,142.74,71.54
B44,201.89,145.92,71.2
B45,370.5,240.32,106.7
B46,517.82,301.68,156.28
B47,346.99,218.32,116.23
B48,631.0,375.34,179.77
B49,475.44,268.38,133.64
B5,1585.0,821.85,405.3
B50,363.16,213.63,115.55
B6,1028.63,627.88,332.5
B60,422.81,240.56,122.93
B61,343.66,214.24,108.88
B62,389.72,257.49,127.61
B63,210.57,139.06,68.56
B64,279.42,172.66,87.15
B65,190.6,125.25,60.33
B66,421.5,257.58,128.24
B67,148.5,103.67,52.58
B68,161.52,110.29,53.51
B69,830.43,523.61,255.81
B7,456.65,300.65,135.78
B70,299.62,180.33,92.96
B71,162.52,105.8,49.84
B72,526.07,284.04,156.14
B73,490.23,278.35,154.92
B74,531.04,315.41,148.58
B75,372.11,234.17,121.81
B76,1078.84,634.06,325.6
B77,327.38,214.29,112.78
B78,556.98,357.99,167.89
B79,360.53,210.05,107.12
B8,202.39,137.4,69.34
B80,368.04,221.06,106.47
B86,0.0,,
B9,373.29,246.58,129.84
B90,601.87,364.29,194.06
B91,732.65,395.4,219.47
B92,306.01,198.49,94.97
B93,667.63,365.61,195.78
B94,736.23,407.88,197.53
B95,739.19,417.2,184.18
B96,517.91,273.15,146.0
B97,344.39,193.34,102.99
B98,565.44,392.67,186.82
BA1,994.77,518.64,258.22
BA10,495.71,279.58,143.46
BA11,471.9,271.8,131.85
BA12,401.38,227.9,116.92
BA13,359.32,204.44,104.29
BA14,331.64,191.55,101.46
BA15,454.52,265.78,139.2
BA16,335.36,190.0,96.28
BA2,658.88,398.8,197.66
BA20,434.51,234.23,117.54
BA21,317.85,197.69,97.57
BA22,423.01,252.94,132.42
BA27,,0.0,
BA3,345.99,213.61,109.18
BA35,0.0,,
BA39,0.0,,
BA4,435.38,237.28,119.64
BA5,505.49,282.23,149.2
