outcode,Avg sold per sqft.(New),Avg sold per sqft.(Old)
AL1,312.26,308.86
AL10,286.24,242.51
AL2,291.86,233.3
AL3,296.05,269.09
AL4,268.54,258.95
AL5,308.97,278.07
AL6,224.81,253.71
AL7,306.53,248.98
AL8,194.87,259.82
AL9,237.18,223.8
B1,256.55,231.26
B10,168.62,101.17
B11,229.86,115.54
B12,167.81,108.3
B13,181.91,155.77
B14,169.28,151.2
B15,197.48,179.89
B16,214.41,171.26
B17,226.63,195.57
B18,215.78,129.74
B19,191.59,113.08
B2,315.05,290.21
B20,270.17,141.02
B21,202.28,90.6
B23,179.22,122.9
B24,134.87,137.22
B25,163.12,120.83
B26,172.12,150.29
B27,112.5,126.76
B28,173.61,160.44
B29,212.17,142.2
B3,248.78,247.99
B30,211.55,152.32
B31,199.61,149.39
B32,252.3,137.58
B33,189.62,122.98
B34,157.19,148.09
B35,96.75,111.41
B36,176.28,146.32
B37,196.77,132.03
B38,232.76,127.77
B4,536.01,308.4
B42,231.28,142.56
B43,162.37,148.3
B44,164.23,129.99
B45,199.99,129.29
B46,172.62,155.61
B47,232.9,187.39
B48,255.65,239.33
B49,272.5,169.71
B5,260.23,208.21
B50,254.46,200.91
B6,48.37,93.76
B60,178.96,176.51
B61,175.51,160.02
B62,219.59,152.61
B63,152.59,159.23
B64,141.51,125.92
B65,153.18,129.18
B66,198.09,122.11
B67,118.87,124.22
B68,156.71,127.7
B69,175.24,119.77
B7,68.6,126.11
B70,182.46,113.12
B71,135.02,123.82
B72,194.66,168.7
B73,174.98,180.91
B74,153.21,158.15
B75,164.35,188.52
B76,119.28,157.51
B77,152.99,142.88
B78,210.25,139.82
B79,220.95,147.66
B8,145.44,104.35
B80,156.82,194.29
B9,79.71,117.01
B90,248.82,199.06
B91,159.74,209.4
B92,160.74,170.78
B93,197.86,220.43
B94,179.49,188.61
B95,174.6,241.0
B96,106.67,163.32
B97,178.64,187.26
B98,160.19,137.38
BA1,325.59,269.46
BA10,230.01,186.2
BA11,202.25,179.16
BA12,171.94,154.74
BA13,156.48,139.55
BA14,161.34,162.34
BA15,201.29,203.5
BA16,147.72,178.01
BA2,251.37,231.54
BA20,154.53,156.36
BA21,192.78,150.13
