outcode,base_year,1_yr_growth,3_yr_growth,5_yr_growth,10_yr_growth
AL1,2024,-4.75,-5.08,1.47,10.11
AL10,2024,-6.92,-7.21,-3.2,10.0
AL2,2024,-4.56,-4.73,-1.49,6.36
AL3,2024,-4.21,-5.57,-0.97,8.53
AL4,2024,-6.64,-4.42,0.45,7.98
AL5,2024,-2.4,-5.13,-0.14,5.81
AL6,2024,-3.37,-5.39,-3.24,3.23
AL7,2024,-7.22,-5.78,-0.75,11.93
AL8,2024,-3.47,-4.81,-2.45,9.46
AL9,2024,-3.85,-2.67,0.28,8.01
B1,2024,-0.14,-1.58,-5.46,11.48
B10,2024,-5.49,-4.97,4.7,9.45
B11,2024,-6.67,-2.49,8.89,14.62
B12,2024,-3.89,2.67,7.56,9.81
B13,2024,-7.36,-10.49,-4.03,14.56
B14,2024,-6.94,-6.27,2.85,19.55
B15,2024,6.4,14.76,15.94,18.22
B16,2024,-6.89,-5.91,0.0,14.29
B17,2024,-6.62,-3.05,-0.52,17.69
B18,2024,-1.87,2.54,6.43,9.97
B19,2024,-6.16,-1.38,3.17,4.63
B2,2024,-1.66,35.3,92.45,10.36
B20,2024,-5.65,-7.46,1.99,11.27
B21,2024,-6.96,-5.16,10.22,14.83
B23,2024,-9.45,-6.16,3.1,18.55
B24,2024,-9.76,-5.47,3.64,17.09
B25,2024,-7.46,-5.52,4.98,14.32
B26,2024,-10.04,-7.38,0.9,22.0
B27,2024,-6.99,-3.32,6.27,16.45
B28,2024,-6.25,-8.02,-2.48,14.7
B29,2024,-5.4,0.65,6.92,19.56
B3,2024,1.77,5.03,12.4,21.43
B30,2024,-8.12,-1.84,6.53,25.26
B31,2024,-7.19,-1.56,5.75,16.55
B32,2024,-9.88,-4.13,6.69,17.29
B33,2024,-10.59,-7.27,3.4,18.17
B34,2024,-11.42,-7.7,2.48,21.0
B35,2024,-3.49,-6.25,-0.56,5.54
B36,2024,-7.69,-3.74,4.34,15.38
B37,2024,-4.76,-3.03,5.16,14.01
B38,2024,-3.49,2.98,13.43,14.57
B4,2024,5.94,14.56,13.22,14.29
B40,2024,-2.52,-7.2,-11.45,-8.48
B42,2024,-8.78,-1.45,7.8,24.1
B43,2024,-10.31,-8.1,3.23,16.57
B44,2024,-10.66,-4.7,7.77,23.13
B45,2024,-8.08,-1.63,8.81,20.25
B46,2024,-6.19,-6.54,-2.9,8.73
B47,2024,-5.93,-5.93,3.5,10.0
B48,2024,-4.5,-4.96,-0.34,4.57
B49,2024,0.08,-4.72,-4.02,6.87
B5,2024,-3.92,-2.19,-1.63,3.45
B50,2024,-2.73,0.4,3.75,6.71
B6,2024,-5.16,-1.92,5.97,10.13
B60,2024,-9.42,-6.78,2.21,13.24
B61,2024,-5.86,-3.4,1.92,12.21
B62,2024,-7.74,-5.14,-0.16,19.75
B63,2024,-7.5,-4.39,2.17,14.23
B64,2024,-5.56,1.31,11.44,14.3
B65,2024,-7.95,-5.05,4.44,16.92
B66,2024,-4.8,-1.49,6.93,4.51
B67,2024,-7.72,-5.01,1.8,13.72
B68,2024,-9.35,-3.89,5.65,15.38
B69,2024,-6.32,0.58,9.08,12.15
B7,2024,2.43,11.83,9.79,8.15
B70,2024,-4.71,-0.81,4.52,6.58
B71,2024,-6.07,-2.21,6.16,14.35
B72,2024,-11.1,-11.1,-7.24,12.63
B73,2024,-8.29,-11.79,-5.56,16.11
B74,2024,-6.51,-8.67,-1.28,15.79
B75,2024,-8.22,-5.63,-2.33,19.64
B76,2024,-5.85,-3.63,1.05,12.73
B77,2024,-9.94,-4.52,4.28,16.62
B78,2024,-4.22,-4.41,2.07,11.53
B79,2024,-5.65,-0.69,3.61,11.95
B8,2024,-4.73,-5.21,4.8,11.96
B80,2024,-6.18,-8.37,0.72,6.33
B9,2024,-7.03,-5.73,3.57,12.95
B90,2024,-6.98,-3.52,1.91,15.61
B91,2024,-8.0,-7.15,-3.16,15.0
B92,2024,-8.25,-6.89,0.44,16.53
B93,2024,-6.94,-4.72,-1.5,12.96
B94,2024,-6.18,-6.46,-2.71,6.0
B95,2024,-4.88,-4.99,-0.72,4.12
B96,2024,-3.32,-0.86,2.36,7.62
B97,2024,-9.85,-4.72,2.73,14.07
B98,2024,-7.32,-2.93,7.72,22.65
BA1,2024,-2.04,-0.13,1.99,12.64
BA10,2024,2.76,1.79,8.0,10.7
BA11,2024,-6.09,-5.16,1.83,13.1
BA12,2024,-2.52,1.62,8.1,13.23
BA13,2024,-8.27,-6.55,2.92,15.91
BA14,2024,-6.33,-4.31,2.67,12.7
BA15,2024,-2.79,-0.23,-0.87,8.97
BA16,2024,-7.84,-3.75,3.83,12.84
BA2,2024,-4.22,0.72,5.82,9.87
BA20,2024,-4.47,-3.42,0.0,9.3
BA21,2024,-3.93,-2.12,6.04,14.15
BA22,2024,0.19,-0.75,4.18,6.75
BA3,2024,-5.51,-2.1,4.66,10.81
BA4,2024,-3.51,2.19,5.38,6.49
BA5,2024,-1.39,-1.8,3.41,11.32
BA6,2024,-1.45,1.01,7.74,16.32
BA7,2024,-6.04,-0.85,6.17,7.7
BA8,2024,-3.81,-5.4,2.69,4.51
BA9,2024,-9.46,-4.47,0.7,9.07
BB1,2024,-3.79,1.15,7.45,9.05
BB10,2024,0.26,-0.54,10.36,11.75
BB11,2024,-3.17,-0.27,3.77,7.84
BB12,2024,-3.33,2.67,14.51,9.37
BB18,2024,-6.75,-2.6,7.05,8.74
BB2,2024,-2.94,2.56,8.98,10.27
