outcode,Crime Rate
AL1,3739.92
AL10,4426.3
AL2,4375.7
AL3,3540.28
AL4,4269.3
AL5,2512.88
AL6,3922.15
AL7,4426.3
AL8,4426.3
AL9,4017.7
B14,1255.48
B31,437.14
B32,437.14
B38,437.14
B45,437.14
B46,4002.81
B47,2061.16
B47,2015.05
B48,2342.21
B48,2289.81
B49,2015.72
B49,2061.85
B50,2061.85
B50,2015.72
B60,2343.1
B61,2343.1
B62,835.13
B74,1138.14
B75,3128.27
B75,2554.48
B76,439.32
B77,4588.43
B77,3746.82
B78,3521.6
B78,4312.62
B79,2961.07
B79,7164.56
B79,3626.19
B80,2460.33
B80,2516.63
B90,1716.38
B93,1477.73
B94,1856.34
B95,1932.44
B96,2016.4
B96,2062.54
B97,2651.33
B97,2712.0
B98,2712.0
B98,2651.33
BB1,14292.01
BB10,12082.09
BB11,12262.34
BB12,12262.34
BB18,11907.07
BB2,9470.39
BB4,15186.6
BB5,14292.01
BB6,13496.96
BB7,13496.96
BB8,11907.07
BB9,14295.83
BB94,11907.07
BD23,14295.83
BH23,5744.17
BH24,5744.17
BH25,5744.17
BH31,5744.17
BL0,8293.84
BL6,5380.7
BL8,6428.64
BL9,5704.66
BN1,7668.05
BN11,10474.23
BN12,8484.61
BN13,8484.61
BN14,10474.23
BN15,18163.48
BN16,7130.2
BN17,7130.2
BN18,7981.82
BN41,6522.4
BN42,6522.4
BN43,11090.14
BN44,7981.82
BN45,7668.05
BN5,7821.79
BN6,7981.82
BN8,7668.05
BN95,18163.48
BN99,13286.57
BR6,4987.04
BR8,9371.06
CA15,inf
CA16,inf
CA17,inf
CA18,inf
CA19,inf
CA2,inf
CA20,inf
CA21,inf
CA22,inf
CA23,inf
CA24,inf
CA25,inf
CA26,inf
CA27,inf
CA28,inf
CA3,inf
CA4,inf
CA5,inf
CA6,inf
CA7,inf
CA8,772.88
CA8,1278.47
CA9,772.88
CA9,1278.47
CA95,inf
CB1,3283.89
CB10,3707.26
CB10,8226.47
CB11,11208.65
CB2,3283.89
CB21,3737.97
CB21,8294.62
CB22,3283.89
CB23,3283.89
CB24,3283.89
CB25,3729.75
CB3,3283.89
CB4,3283.89
CB5,3283.89
CB6,4108.15
CB6,4477.44
CB7,5312.62
CB7,5135.59
CB8,3729.75
CB8,3858.33
CB9,3170.37
CB9,6800.68
CH1,1402.88
CH2,1402.88
CH25,3508.18
CH26,3508.18
CH27,3508.18
CH28,3508.18
CH29,3508.18
CH3,1330.1
CH30,3508.18
CH31,3508.18
CH32,3508.18
CH33,1402.88
CH34,1402.88
CH4,1402.88
CH41,3508.18
CH42,3508.18
CH43,3508.18
CH44,3508.18
CH45,3508.18
CH46,3508.18
CH47,3508.18
CH48,3508.18
CH49,3508.18
CH60,3508.18
CH61,3508.18
CH62,3385.12
CH62,1452.09
CH63,3508.18
CH64,3385.12
CH64,1452.09
CH65,3385.12
CH65,1452.09
CH66,1402.88
CH70,1402.88
CH88,1402.88
CH99,1402.88
CM0,15801.04
CM1,7572.81
CM11,5606.59
CM12,7833.88
CM13,5655.25
CM13,31148.37
CM14,33647.04
CM14,6108.91
CM15,9934.53
CM16,7821.44
CM17,11208.65
CM18,9419.96
CM19,7821.44
CM19,4172.86
CM2,5718.01
CM20,4649.15
CM20,8714.18
CM21,3909.93
CM21,7328.61
CM22,4172.86
CM22,7821.44
CM23,8537.29
CM23,4554.78
CM24,11208.65
CM3,8465.22
CM4,6606.34
CM5,9213.6
CM6,6800.68
CM7,8465.22
CM77,6800.68
CM8,9508.82
CM9,6800.68
CM92,11839.71
CM98,5718.01
CM99,5718.01
CO1,5216.1
CO10,8452.41
CO10,3940.38
CO11,8550.32
CO11,3986.03
CO12,6928.35
CO13,6928.35
CO14,6928.35
CO15,6928.35
CO16,6928.35
CO2,5216.1
CO3,5216.1
CO4,5951.52
CO5,6800.68
CO6,3170.37
CO6,6800.68
CO7,3229.89
CO7,6928.35
CO8,3170.37
CO8,6800.68
CO9,6800.68
CR0,19178.58
CR2,14718.67
CR3,23969.72
CR3,3442.05
CR4,21237.0
CR44,27516.31
CR5,27516.31
CR5,3951.34
CR6,17011.41
CR6,2442.84
CR7,19223.28
CR8,27516.31
CR8,3951.34
CR9,19178.58
CR90,14718.67
CT1,6846.45
CT10,7932.23
CT11,7932.23
CT12,7932.23
CT13,9453.12
CT14,9453.12
CT15,9689.96
CT16,9453.12
CT17,9453.12
CT18,9689.96
CT19,9938.98
CT2,7132.35
CT20,9938.98
CT21,9938.98
CT3,7941.35
CT4,8972.51
CT5,6846.45
CT50,9938.98
CT6,6846.45
CT7,7349.46
CT8,7932.23
CT9,7932.23
CV1,1560.92
CV10,5594.51
CV10,2312.18
CV11,2312.18
CV11,5594.51
CV12,2441.42
CV13,5258.66
CV13,2173.37
CV2,2050.29
CV2,4566.9
CV21,2441.42
CV22,2441.42
CV23,2896.76
CV23,2015.05
CV3,4134.89
CV3,1856.34
CV31,1932.44
CV32,1856.34
CV33,1932.44
CV34,1856.34
CV35,1932.44
CV36,2015.05
CV37,2015.72
CV37,2061.85
CV4,1227.39
CV4,2733.94
CV47,2207.84
CV5,1987.24
CV6,1044.53
CV6,2326.63
CV7,4566.9
CV7,2050.29
CV8,3291.55
CV8,1477.73
CV9,2931.19
CV9,7092.26
CW1,1264.5
CW10,1330.1
CW11,1264.5
CW12,1355.81
CW12,2014.26
CW2,1270.93
CW2,1888.16
CW3,998.65
CW3,1483.64
CW3,2217.2
CW4,1330.1
CW5,1264.5
CW6,1330.1
CW7,1330.1
CW8,1402.88
CW9,1330.1
CW98,1264.5
DA1,6237.25
DA1,31229.52
DA10,9870.33
DA11,10265.57
DA12,10693.79
DA13,9614.22
DA14,4559.12
DA14,22827.24
DA15,20940.45
DA16,20940.45
DA17,6237.25
DA17,31229.52
DA18,22827.24
DA2,9614.22
DA3,9870.33
DA4,9614.22
DA5,31229.52
DA5,6237.25
DA6,22827.24
DA7,22827.24
DA8,22827.24
DA9,9870.33
DE1,3218.66
DE11,5468.42
DE11,5988.93
DE12,5405.39
DE12,5919.91
DE13,5405.39
DE13,2996.23
DE14,2722.71
DE15,5146.86
DE15,2852.93
DE21,4587.49
DE22,3056.42
DE23,3218.66
DE24,3218.66
DE3,3218.66
DE4,5796.19
DE45,8190.3
DE5,4587.49
DE55,2701.98
DE55,5121.49
DE56,5097.54
DE6,2996.23
DE6,5405.39
DE65,5405.39
DE7,2689.35
DE7,5097.54
DE72,5746.39
DE72,5246.96
DE73,5919.91
DE73,5405.39
DE74,4880.63
DE74,5345.19
DE74,2574.91
DE75,4829.09
DE99,2291.6
DG16,inf
DH1,780.88
DH2,1849.54
DH2,1131.84
DH3,2454.7
DH3,1502.17
DH4,1679.18
DH4,1027.58
DH5,1027.58
DH5,1679.18
DH6,780.88
DH7,780.88
DH8,971.89
DH8,965.73
DH9,1131.84
DH9,1849.54
DH97,780.88
DH98,1849.54
DH98,1131.84
DH99,780.88
DL1,1301.18
DL10,inf
DL11,743.88
DL11,780.88
DL12,780.88
DL12,469.08
DL12,743.88
DL13,780.88
DL14,780.88
DL15,780.88
DL16,780.88
DL17,780.88
DL2,2098.41
DL2,1998.98
DL3,3899.32
DL4,1301.18
DL5,1301.18
DL6,inf
DL7,inf
DL8,inf
DL9,inf
DL98,3899.32
DN1,1836.96
DN10,1805.19
DN10,3334.47
DN10,2400.78
DN11,2156.88
DN11,1167.67
DN12,1984.11
DN14,1322.59
DN14,1260.01
DN14,1836.96
DN14,1995.29
DN15,2400.78
DN16,2400.78
DN17,3087.59
DN18,2400.78
DN19,2400.78
DN2,1836.96
DN20,3087.59
DN21,2622.73
DN21,3488.06
DN22,2622.73
DN3,1836.96
DN31,2605.49
DN32,2605.49
DN33,2605.49
DN34,2605.49
DN35,2605.49
DN36,2740.21
DN37,2740.21
DN38,3087.59
DN39,3087.59
DN4,1836.96
DN40,2498.95
DN41,3251.89
DN5,2047.69
DN6,1260.01
DN6,1836.96
DN7,1836.96
DN8,1836.96
DN8,1995.29
DN8,1322.59
DN9,3334.47
DN9,2400.78
DN9,1805.19
DT1,inf
DT10,inf
DT10,inf
DT10,inf
DT11,inf
DT2,inf
DT3,inf
DT4,inf
DT5,inf
DT6,inf
DT7,2030.08
DT7,2412.15
DT8,inf
DT8,inf
DT8,inf
DT9,inf
DT9,inf
DT9,inf
DY1,1842.59
DY10,2548.32
DY10,3050.91
DY11,2432.38
DY11,2912.1
DY12,2675.86
DY12,7112.66
DY13,2675.86
DY14,7112.66
DY14,2675.86
DY2,1842.59
DY3,2239.42
DY3,1231.21
DY4,1818.59
DY5,1842.59
DY6,1503.16
DY6,2734.08
DY7,1503.16
DY7,3337.33
DY7,2734.08
DY7,1255.54
DY8,3050.91
DY8,5549.24
DY8,2548.32
DY9,5826.98
DY9,2675.86
E1,185.59
E1,19846.46
E10,20310.6
E11,19461.18
E12,17134.08
E13,15824.51
