outcode,edu_att_pop_16_plus,edu_att_no_diploma,edu_att_high_school,edu_att_some_college,edu_att_bachelors,edu_att_graduate
AL1,32830,9.56%,5.95%,9.38%,11.36%,59.06%
AL10,33513,14.77%,8.54%,11.07%,23.94%,34.17%
AL2,20729,14.5%,8.95%,14.1%,15.9%,38.78%
AL3,23283,10.51%,7.17%,12.06%,13.49%,51.03%
AL4,21195,10.38%,7.38%,12.64%,14.74%,48.75%
AL5,23643,7.27%,5.19%,10.94%,12.09%,60.14%
AL6,12228,10.62%,7.35%,12.95%,15.81%,46.99%
AL7,28850,15.94%,11.03%,14.41%,17.19%,33.86%
AL8,10109,12.06%,8.36%,12.9%,15.38%,44.98%
AL9,8754,13.57%,8.61%,13.37%,16.32%,41.17%
B1,13030,10.81%,5.04%,6.88%,14.37%,58.11%
B10,23661,34.53%,12.83%,13.09%,14.13%,19.55%
B11,37029,32.51%,12.23%,13.3%,14.41%,21.45%
B12,17678,29.56%,10.91%,11.91%,14.84%,27.2%
B13,31101,19.65%,7.74%,11.05%,14.29%,42.16%
B14,33764,22.05%,10.28%,13.49%,15.84%,31.45%
B15,21805,9.29%,3.89%,5.95%,32.01%,44.9%
B16,20541,19.89%,8.07%,9.34%,14.68%,42.44%
B17,23393,15.09%,6.41%,8.24%,13.08%,52.24%
B18,15157,28.39%,10.73%,11.01%,14.27%,28.26%
B19,19444,30.11%,12.29%,12.04%,18.64%,21.03%
B2,670,10.9%,4.48%,7.91%,15.22%,58.51%
B20,30994,26.81%,10.71%,11.83%,15.5%,28.98%
B21,20604,32.75%,12.07%,11.98%,13.32%,21.28%
B22,205,27.32%,7.32%,9.27%,15.12%,35.12%
B23,41497,25.62%,11.43%,12.78%,15.7%,26.46%
B24,23575,26.06%,10.98%,13.2%,15.77%,26.71%
B25,13520,29.05%,11.86%,13.79%,15.5%,22.34%
B26,29435,24.24%,11.69%,14.92%,17.48%,23.82%
B27,22231,25.96%,10.41%,13.9%,15.83%,26.65%
B28,23387,19.84%,9.3%,13.48%,16.47%,34.72%
B29,40067,15.2%,6.31%,8.42%,33.02%,32.13%
B3,1427,3.15%,2.1%,6.17%,14.3%,71.06%
B30,24040,17.46%,8.45%,12.23%,15.67%,40.59%
B31,45833,22.7%,10.74%,14.25%,16.94%,27.87%
B32,29531,23.45%,10.7%,13.84%,15.7%,28.67%
B33,26358,29.74%,12.37%,14.73%,14.68%,21.1%
B34,15706,28.86%,11.89%,15.62%,16.26%,20.41%
B35,6864,31.34%,13.17%,15.92%,15.88%,16.03%
B36,29059,26.45%,12.15%,15.29%,16.67%,21.54%
B37,27643,27.18%,12.98%,16.89%,16.02%,19.14%
B38,14521,24.2%,10.92%,14.41%,15.73%,26.84%
B4,7644,3.92%,2.18%,5.08%,58.86%,27.17%
B42,22506,21.53%,10.79%,13.49%,17.62%,28.77%
B43,24918,22.29%,10.52%,13.8%,16.94%,27.65%
B44,26023,27.34%,12.35%,14.95%,16.58%,20.72%
B45,25857,20.24%,10.56%,14.37%,17.54%,29.68%
B46,12099,18.51%,11.17%,14.79%,18.15%,28.38%
B47,8772,17.76%,8.96%,14.06%,17.61%,32.5%
B48,4501,16.11%,7.33%,13.22%,14.33%,42.46%
B49,10631,16.65%,9.64%,14.0%,15.98%,35.96%
