outcode,In_Employment,Unemployed,Unemployment_pct,Retired
AL1,21606,804,3.59,5299
AL10,16332,807,4.71,3547
AL2,12299,482,3.77,4758
AL3,13954,485,3.36,5195
AL4,12759,463,3.5,4704
AL5,14159,475,3.25,5386
AL6,7046,201,2.77,3332
AL7,18201,826,4.34,4813
AL8,5761,185,3.11,2636
AL9,5009,184,3.54,2086
B1,7626,683,8.22,545
B10,8657,1442,14.28,2270
B11,14576,2064,12.4,3480
B12,7019,1049,13.0,1687
B13,16033,1366,7.85,5618
B14,17865,1421,7.37,6569
B15,8335,665,7.39,2273
B16,10349,1283,11.03,1729
B17,12423,801,6.06,4258
B18,6485,999,13.35,1289
B19,6850,1485,17.82,1366
B2,367,46,11.14,36
B20,14097,1649,10.47,3829
B21,8744,1459,14.3,2306
B22,105,10,8.7,57
B23,20688,2260,9.85,6395
B24,12078,993,7.6,4234
B25,6240,732,10.5,1881
B26,15901,1132,6.65,5963
B27,11202,1090,8.87,3648
B28,12335,743,5.68,4449
B29,14219,1382,8.86,5171
B3,984,42,4.09,21
B30,13658,791,5.47,5012
B31,24358,1869,7.13,9258
B32,14452,1449,9.11,5819
B33,12338,1446,10.49,3976
B34,7600,784,9.35,2851
B35,3223,395,10.92,1197
B36,14562,1220,7.73,5897
B37,14143,1326,8.57,5386
B38,7088,624,8.09,3285
B4,1115,130,10.44,106
B42,12295,949,7.17,4174
B43,14027,690,4.69,5863
B44,13555,1242,8.39,4490
B45,14027,896,6.0,6001
B46,7061,275,3.75,3304
B47,4765,192,3.87,2848
B48,2480,85,3.31,1363
B49,5833,199,3.3,3406
B5,3170,505,13.74,669
B50,3616,129,3.44,1415
B6,5106,1005,16.45,1318
B60,15007,554,3.56,6638
B61,11482,492,4.11,4636
B62,12421,536,4.14,5955
B63,16246,856,5.01,7574
B64,8451,661,7.25,2998
B65,10883,788,6.75,4381
B66,10777,1384,11.38,2418
B67,10879,907,7.7,3367
B68,13094,1031,7.3,4975
B69,12523,1013,7.48,3737
B7,2144,477,18.2,595
B70,12839,1403,9.85,4040
B71,12953,1115,7.93,4810
B72,6070,200,3.19,2972
B73,9531,344,3.48,4642
B74,14996,532,3.43,8191
B75,12269,524,4.1,5352
B76,8713,363,4.0,4484
B77,27500,1244,4.33,10141
B78,12261,474,3.72,5065
B79,11309,491,4.16,5465
B8,12058,1959,13.98,2686
B80,3983,159,3.84,1828
B9,6225,952,13.26,1178
B90,24201,914,3.64,10181
B91,15420,564,3.53,8538
B92,15268,718,4.49,6668
B93,8648,287,3.21,5286
B94,3530,99,2.73,1746
B95,3046,86,2.75,1920
B96,2452,78,3.08,1286
B97,17413,644,3.57,6276
B98,21907,1121,4.87,8032
BA1,22120,907,3.94,8679
