outcode,race_ethnicity_total,race_ethnicity_white,race_ethnicity_black,race_ethnicity_asian,race_ethnicity_other,race_ethnicity_two_or_more
AL1,41646,32879,1011,4761,952,2043
AL10,40379,26621,4601,6020,1305,1832
AL2,25584,20595,776,2514,629,1070
AL3,29648,25696,565,1770,445,1172
AL4,27200,23508,443,1806,331,1112
AL5,31033,27539,493,1517,328,1156
AL6,14695,13279,204,616,145,451
AL7,36812,30739,1666,2294,563,1550
AL8,12557,10926,300,670,133,528
AL9,10493,8817,285,695,313,383
B1,14344,7121,2446,2970,971,836
B10,32902,2678,4323,22380,2559,962
B11,51327,6647,3421,35975,3766,1518
B12,23575,3902,3468,10888,4181,1136
B13,39006,19901,2044,13332,1819,1910
B14,42856,30199,2618,6503,1127,2409
B15,25046,11716,3189,7058,1669,1414
B16,25034,8649,5429,7671,1895,1390
B17,28361,16014,2149,7154,1630,1414
B18,20155,4550,5924,7012,1473,1196
B19,26751,2860,8942,12567,1341,1041
B2,686,319,57,224,45,41
B20,39945,5253,7599,23364,2332,1397
B21,27361,3552,5127,15658,2011,1013
B22,257,206,16,10,0,25
B23,53368,29972,8918,9552,1572,3354
B24,29851,18039,3600,5693,852,1667
B25,18560,7169,1219,8298,979,895
B26,37087,26133,1538,7123,839,1454
B27,28619,15753,1437,8939,1069,1421
B28,30149,12689,874,14041,1377,1168
B29,47676,32046,3503,7428,1884,2815
B3,1506,988,137,165,69,147
B30,29504,23305,1447,2487,541,1724
B31,58580,45977,4636,3515,1224,3228
B32,38134,24642,4588,4698,1512,2694
B33,35803,18757,3112,10651,1084,2199
B34,20907,12776,1293,5091,481,1266
B35,8848,7020,716,238,85,789
B36,37695,24786,2553,7941,716,1699
B37,35653,31151,1159,1163,222,1958
B38,18597,14483,1414,1146,371,1183
B4,8072,3267,1547,2392,381,485
B42,28587,13728,4111,8225,1080,1443
B43,30672,19826,2232,6502,930,1182
B44,33668,24632,3336,3598,557,1545
B45,32357,28153,1303,1109,269,1523
B46,14359,13674,70,185,45,385
B47,10726,9867,75,365,90,329
B48,5491,5220,27,97,9,138
B49,12422,12009,26,179,41,167
B5,9355,2674,2057,2887,1128,609
B50,7323,7121,3,67,34,98
B6,18647,1889,3522,11886,837,513
B60,31681,29646,254,942,135,704
B61,23809,22500,158,527,117,507
B62,27365,22101,773,2981,588,922
