outcode,Avg Listing per sqft,Avg Sold per sqft
AL1,700.65,709.1
AL10,525.68,732.48
AL2,599.33,444.1
AL3,715.25,450.11
AL4,718.72,449.73
AL5,602.13,519.16
AL6,611.13,380.11
AL7,458.61,527.62
AL8,559.47,488.88
AL9,692.46,490.51
B1,360.15,2470.32
B10,278.14,187.3
B11,292.8,301.58
B12,251.8,345.34
B13,401.46,236.31
B14,351.76,212.97
B15,391.06,849.17
B16,316.93,466.48
B17,531.56,310.42
B18,322.28,333.18
B19,350.84,243.89
B2,397.98,14283.21
B20,441.35,199.06
B21,279.31,161.19
B23,257.86,163.91
B24,320.22,415.27
B25,310.08,191.68
B26,290.67,412.43
B27,280.89,178.79
B28,378.51,206.7
B29,442.25,542.75
B3,444.25,8564.25
B30,372.79,236.19
B31,350.81,194.38
B32,324.45,191.94
B33,332.52,174.59
B34,319.37,149.52
B35,222.08,649.2
B36,388.86,175.52
B37,303.22,569.87
B38,378.86,193.54
B4,619.81,32713.23
B42,292.54,194.26
B43,316.17,213.7
B44,278.86,160.24
B45,448.45,279.25
B46,474.7,333.24
B47,380.23,293.99
B48,687.12,454.48
B49,473.41,502.74
B5,324.18,1066.38
B50,446.59,326.84
B6,238.48,742.27
B60,413.78,310.2
B61,427.1,288.99
B62,444.8,411.9
B63,372.1,190.27
B64,318.32,249.5
B65,299.96,192.06
B66,318.99,355.94
B67,296.09,137.32
B68,314.57,158.65
B69,297.73,790.88
B7,502.9,415.88
B70,262.3,247.2
B71,297.69,111.88
B72,401.84,363.87
B73,389.56,257.99
B74,510.73,387.29
B75,471.42,279.12
B76,393.04,896.85
B77,341.33,267.74
B78,466.66,461.62
B79,436.47,310.09
B8,256.99,194.54
B80,506.13,362.66
B9,281.15,306.32
B90,386.26,375.92
B91,433.41,538.74
B92,384.0,178.42
B93,508.51,292.31
B94,520.0,548.48
B95,852.87,389.84
B96,415.69,449.17
B97,424.81,267.16
B98,338.53,512.5
BA1,791.46,715.42
BA10,764.63,421.24
BA11,588.12,318.58
BA12,383.82,272.95
BA13,342.54,267.44
BA14,389.41,211.62
BA15,461.81,383.73
BA16,434.09,244.33
BA2,656.05,540.75
BA20,378.2,333.33
BA21,349.65,213.05
BA22,441.05,333.58
BA3,503.31,251.31
BA4,444.01,338.59
BA5,655.1,383.79
BA6,573.87,254.01
BA7,518.02,287.03
BA8,435.23,270.81
BA9,397.89,430.82
BB1,267.42,330.35
BB10,274.77,165.29
BB11,198.17,159.54
BB12,273.67,183.38
BB18,286.38,153.92
BB2,281.5,126.98
BB23,,
BB3,167.9,147.6
BB4,383.21,215.68
BB5,196.11,152.37
BB6,278.11,223.44
BB7,402.7,262.16
BB8,243.72,194.86
BB9,296.65,142.41
BD1,78.3,1513.05
BD10,601.85,186.46
BD11,431.25,196.23
BD12,232.12,146.32
BD13,300.95,148.81
BD14,269.78,125.12
BD15,304.02,154.69
BD16,352.48,229.34
BD17,333.18,254.47
BD18,298.51,165.69
BD19,345.58,268.89
BD2,239.32,143.26
BD20,378.89,201.76
BD21,195.12,164.24
BD22,391.56,167.99
BD23,495.18,281.28
BD24,361.03,203.43
BD3,101.35,224.52
BD4,288.53,257.02
BD5,312.47,189.23
BD6,244.55,141.06
BD7,254.06,217.66
BD8,209.99,153.84
BD9,340.66,166.04
BH1,397.27,491.02
BH10,512.27,235.63
BH11,418.81,290.2
BH12,412.77,187.43
BH13,1530.49,643.09
BH14,512.64,478.33
BH15,335.83,408.05
BH16,649.87,357.78
BH17,348.81,191.8
BH18,814.04,370.01
BH19,387.09,445.29
BH2,327.95,638.48
BH20,935.58,319.25
BH21,607.6,414.49
BH22,478.23,372.29
BH23,542.59,370.48
BH24,738.17,461.19
BH25,418.72,203.46
BH3,695.51,447.99
BH31,330.49,411.56
BH4,536.47,633.58
BH5,370.67,279.53
BH6,675.26,276.06
BH7,506.38,390.84
BH8,430.38,463.65
BH9,516.81,239.97
BL0,416.56,220.22
BL1,358.31,302.04
BL2,312.79,223.19
BL3,289.76,187.94
BL4,269.53,183.57
BL5,474.43,324.4
BL6,384.26,246.37
BL7,407.26,371.1
BL8,331.76,252.89
BL9,348.95,331.29
BN1,674.54,940.59
BN10,475.72,234.63
BN11,435.9,307.83
BN12,670.49,304.01
BN13,490.71,375.59
BN14,529.59,245.42
BN15,408.59,273.12
BN16,784.17,290.0
BN17,298.39,419.15
BN18,661.57,384.68
BN2,494.98,485.41
BN20,652.49,367.87
BN21,298.89,342.55
BN22,402.39,215.96
BN23,389.93,284.04
BN24,425.05,338.15
BN25,468.22,292.65
BN26,559.38,391.32
BN27,519.61,389.49
BN3,629.17,593.17
BN41,439.48,204.46
BN42,794.08,132.53
BN43,585.79,216.88
BN44,667.08,316.37
BN45,,503.94
BN5,676.39,342.4
BN6,341.0,514.94
BN7,452.16,501.88
BN8,681.57,410.13
BN9,301.8,276.42
BR1,465.85,620.31
BR2,779.96,367.97
BR3,686.83,345.42
BR4,565.01,463.95
BR5,603.92,606.54
BR6,804.27,505.43
BR7,1053.22,661.52
BR8,412.72,580.04
BS1,313.23,3118.54
BS10,478.4,384.25
BS11,515.07,853.67
BS13,349.04,178.15
BS14,436.18,245.83
BS15,411.66,227.47
BS16,461.43,353.52
BS2,395.1,851.41
BS20,481.2,279.03
BS21,663.39,271.11
BS22,362.92,217.24
BS23,305.52,250.16
BS24,430.35,297.87
BS25,663.06,398.28
BS26,685.82,369.33
BS27,367.97,244.7
BS28,533.87,364.36
BS29,452.47,269.29
BS3,283.45,359.12
BS30,483.25,362.59
BS31,620.81,218.81
BS32,484.14,807.3
BS34,382.72,372.71
BS35,525.34,601.03
BS36,619.29,411.92
BS37,412.65,277.38
BS39,511.93,296.31
BS4,363.13,304.13
BS40,868.95,357.6
BS41,784.64,318.55
BS48,401.75,409.73
BS49,389.06,219.62
BS5,327.35,235.1
BS6,559.38,371.55
BS7,596.12,240.6
BS8,634.32,477.09
BS9,649.94,361.69
C09,,
CA1,189.65,208.42
CA10,434.1,161.09
CA11,394.58,168.97
CA12,584.19,195.44
CA13,257.87,249.19
CA14,227.12,128.05
CA15,223.07,74.25
CA16,399.74,235.73
CA17,465.25,173.45
CA18,,260.19
CA19,,261.49
CA2,192.36,115.85
CA20,238.44,104.44
CA21,,156.01
CA22,176.81,121.92
CA23,,104.06
CA24,,88.36
CA25,149.98,77.0
CA26,132.64,107.41
CA27,335.66,133.85
CA28,173.86,86.03
CA3,191.56,224.67
CA4,662.4,272.01
CA5,327.34,184.51
CA6,360.56,287.45
CA7,328.34,137.34
CA8,484.48,183.36
CA9,154.88,159.16
CB1,560.68,672.95
CB10,705.63,608.11
CB11,476.43,497.56
CB2,518.19,1177.01
CB21,492.37,450.45
CB22,630.54,532.15
CB23,436.13,539.53
CB24,309.39,360.74
CB25,545.25,429.69
CB3,638.14,1106.76
CB4,366.37,824.01
CB5,553.96,754.14
CB6,291.2,244.12
CB7,329.8,334.98
CB8,442.79,569.93
CB9,374.24,256.32
CF10,196.84,2072.01
CF11,281.48,366.99
CF14,551.68,312.41
CF15,449.17,264.81
CF23,429.69,395.21
CF24,275.63,337.55
CF3,350.2,239.77
CF31,297.29,244.25
CF32,475.25,229.6
CF33,316.89,193.3
CF34,200.4,114.58
CF35,368.27,271.73
CF36,408.51,249.53
CF37,263.63,219.13
CF38,340.6,160.75
CF39,223.86,125.35
CF40,150.32,80.46
CF41,166.08,84.78
CF42,170.98,75.51
CF43,100.45,72.56
CF44,225.53,112.07
CF45,177.14,118.97
CF46,326.76,122.13
CF47,236.45,109.32
CF48,282.91,185.52
CF5,486.8,215.59
CF61,426.27,161.72
CF62,429.31,187.38
CF63,264.55,168.49
CF64,581.06,290.51
CF71,697.97,368.52
CF72,387.71,179.39
CF81,183.86,129.79
CF82,280.77,105.41
CF83,319.01,185.42
CH1,307.5,593.57
CH2,461.07,138.8
CH3,457.02,286.9
CH4,343.5,372.2
CH41,137.73,178.53
CH42,250.11,115.32
CH43,366.78,200.04
CH44,195.85,108.06
CH45,322.51,204.85
CH46,264.53,128.72
CH47,373.25,264.37
CH48,604.24,358.36
CH49,339.57,155.02
CH5,315.06,242.24
CH6,249.17,129.85
CH60,587.71,396.92
CH61,324.84,183.01
CH62,330.84,372.08
CH63,329.78,231.43
CH64,333.06,340.02
CH65,207.58,471.36
CH66,345.81,192.34
CH7,397.13,253.28
CH8,202.47,153.31
CM0,394.15,281.9
CM1,479.03,595.73
CM11,723.82,312.75
CM12,626.71,279.9
CM13,986.05,514.43
CM14,587.1,592.83
CM15,732.7,492.93
CM16,841.59,520.48
CM17,505.21,405.59
CM18,444.4,225.22
CM19,476.72,529.25
CM2,440.12,558.63
CM20,373.86,559.21
CM21,638.04,389.11
CM22,651.66,436.12
CM23,543.78,602.44
CM24,726.99,1682.3
CM3,849.22,383.72
CM4,1275.43,673.68
CM5,820.68,483.49
CM6,952.25,415.99
CM7,451.54,253.83
CM77,444.33,467.04
CM8,595.18,277.78
CM9,466.64,281.37
CO1,238.7,459.23
CO10,348.14,407.72
CO11,404.81,256.54
CO12,267.92,182.83
CO13,421.53,315.8
CO14,267.44,160.93
CO15,317.99,150.11
CO16,373.55,325.27
CO2,428.82,235.96
CO3,430.43,299.33
CO4,369.16,481.55
CO5,517.31,292.25
CO6,570.56,406.86
CO7,686.96,324.38
CO8,792.9,497.75
CO9,484.61,313.97
CR0,468.57,543.11
CR2,490.34,438.96
CR3,651.26,423.35
CR4,381.67,305.61
CR5,662.61,430.29
CR6,502.75,700.2
CR7,349.44,246.38
CR8,586.96,440.5
CR9,,11166.4
CT1,429.02,435.71
CT10,545.12,660.14
CT11,325.16,178.55
CT12,478.65,367.02
CT13,403.8,355.75
CT14,358.65,327.91
CT15,683.87,360.59
CT16,292.08,227.36
CT17,252.29,256.61
CT18,587.68,243.09
CT19,314.38,236.03
CT2,472.03,393.48
CT20,394.5,254.54
CT21,564.23,415.43
CT3,557.41,380.69
CT4,686.41,453.6
