outcode,Total households,One Person household,Single family Household,Other household type
AL1,17213,5074,11228,911
AL10,13527,3586,7765,2176
AL2,10251,2722,6941,588
AL3,11786,2968,8362,456
AL4,10605,2637,7524,444
AL5,11920,2827,8712,381
AL6,5886,1389,4192,305
AL7,15354,4719,9845,790
AL8,5344,1600,3537,207
AL9,4142,1067,2810,265
B1,7781,4058,2937,786
B10,8639,1810,5290,1539
B11,14260,3011,8800,2449
B12,7653,2590,3906,1157
B13,15764,5876,8494,1394
B14,17658,5737,10774,1147
B15,8487,3487,4111,889
B16,10682,4535,4754,1393
B17,11791,4068,6442,1281
B18,7268,2454,3927,887
B19,8138,2595,4464,1079
B2,482,321,126,35
B20,12489,3583,6913,1993
B21,8666,2116,5131,1419
B22,127,62,63,2
B23,21996,8026,12086,1884
B24,11762,3795,6964,1003
B25,6227,1654,3892,681
B26,14721,4354,9363,1004
B27,11006,3663,6409,934
B28,10475,2624,6824,1027
B29,16983,4977,8601,3405
B3,948,485,350,113
B30,13015,4518,7778,719
B31,24682,8025,15321,1336
B32,15839,5228,9689,922
B33,13294,4073,8119,1102
B34,8126,2636,4874,616
B35,3732,1300,2204,228
B36,14041,3858,9099,1084
B37,15038,4844,9441,753
B38,7692,2476,4756,460
B4,1245,597,497,151
B42,11117,3151,7042,924
B43,12295,3388,8128,779
B44,13438,4060,8399,979
B45,13550,3982,8923,645
B46,6162,1736,4155,271
B47,4533,1223,3135,175
B48,2322,630,1601,91
B49,5641,1711,3686,244
B5,4026,1756,1861,409
B50,3133,807,2197,129
B6,5445,1548,2974,923
B60,13193,3835,8901,457
B61,10145,2892,6801,452
B62,11385,3182,7660,543
B63,15812,4999,10169,644
B64,8232,2672,5125,435
B65,10698,3293,6779,626
B66,10368,2943,5885,1540
B67,9712,2512,6168,1032
B68,12381,3615,7852,914
B69,11345,3262,7231,852
B7,3105,1082,1733,290
B70,12871,3992,7393,1486
B71,12502,3659,7892,951
B72,5474,1715,3490,269
B73,8461,2346,5726,389
B74,13515,3653,9220,642
B75,10893,2765,7620,508
B76,8128,2454,5356,318
B77,23709,5911,16641,1157
B78,10662,2770,7390,502
B79,10556,3114,6919,523
B8,12023,2231,7635,2157
B80,3636,1070,2391,175
B9,6223,1270,4040,913
B90,20983,6018,14005,960
B91,14024,3798,9570,656
B92,13703,4032,8931,740
B93,8305,2193,5887,225
B94,2962,659,2160,143
B95,3120,1051,1953,116
B96,2172,585,1489,98
B97,15006,4436,9856,714
B98,19264,5049,12982,1233
BA1,21380,7266,12202,1912
BA10,2158,664,1405,89
BA11,16357,4803,10771,783
BA12,13528,4124,8797,607
BA13,9459,2689,6337,433
BA14,22169,6373,14572,1224
BA15,6436,2082,4143,211
BA16,6085,2042,3746,297
BA2,28860,8198,17286,3376
BA20,6570,2289,3942,339
BA21,15119,4412,9895,812
BA22,7919,2089,5469,361
BA3,15816,4047,11059,710
BA4,7824,2191,5236,397
BA5,8762,2962,5424,376
BA6,5775,1855,3572,348
BA7,1795,650,1097,48
BA8,2295,626,1582,87
BA9,3274,980,2152,142
BB0,129,68,54,7
BB1,26770,7168,17352,2250
BB10,17574,5551,10768,1255
BB11,10994,3797,6564,633
BB12,15246,4702,9853,691
BB18,8016,2465,5215,336
BB2,24176,7454,15182,1540
BB3,14544,4927,8982,635
BB4,18186,5780,11608,798
BB5,25870,8415,16094,1361
BB6,10739,3301,7060,378
BB7,11042,3470,7190,382
BB8,10892,3703,6733,456
BB9,16755,5111,9980,1664
BD1,5125,2441,2229,455
BD10,13536,4231,8714,591
BD11,5848,1668,3986,194
BD12,8193,2656,5166,371
BD13,13266,3900,8834,532
BD14,3547,1099,2240,208
BD15,6964,2043,4460,461
BD16,12223,4066,7711,446
BD17,8839,3150,5380,309
BD18,11599,4067,6808,724
BD19,9795,3082,6388,325
BD2,11472,3467,7117,888
BD20,17484,5181,11627,676
BD21,10986,3668,6424,894
BD22,10910,3383,7128,399
BD23,13968,4693,8806,469
BD24,2232,768,1398,66
BD3,9637,2224,5995,1418
BD4,13111,4259,8021,831
BD5,9681,2769,5859,1053
BD6,12377,3635,8091,651
BD7,9723,2581,5876,1266
BD8,9417,2516,5506,1395
BD9,7514,1668,4674,1172
BH1,14356,6251,6602,1503
BH10,10276,2965,6467,844
BH11,8488,2363,5523,602
BH12,16339,4787,10200,1352
BH13,4040,1450,2414,176
BH14,10445,3454,6432,559
BH15,15433,5113,9259,1061
BH16,6628,1726,4533,369
BH17,9827,2549,6769,509
BH18,4608,1150,3213,245
BH19,5327,1813,3264,250
BH2,5090,2450,2208,432
BH20,8756,2509,5809,438
BH21,23925,6195,16614,1116
BH22,12522,3828,8101,593
BH23,25068,8014,15933,1121
BH24,10537,2882,7084,571
BH25,11908,3828,7547,533
BH3,2793,767,1617,409
BH31,200,29,169,2
BH4,4310,2045,1991,274
BH5,5391,2304,2653,434
BH6,10681,3625,6399,657
BH7,3575,903,2374,298
BH8,11949,3683,7088,1178
BH9,10583,2515,6405,1663
BL0,8444,2514,5634,296
BL1,28869,9461,17531,1877
BL11,106,68,35,3
BL2,20596,6547,13142,907
BL3,25307,6966,16244,2097
BL4,14004,4521,8621,862
BL5,12283,3503,8290,490
BL6,13114,4084,8535,495
BL7,6122,1733,4211,178
BL8,14916,4144,10232,540
BL9,21543,6914,13252,1377
BN1,38136,13139,20627,4370
BN10,8784,2674,5531,579
BN11,17875,7844,9044,987
BN12,10390,3095,6737,558
BN13,13092,3646,8722,724
BN14,12645,3587,8306,752
BN15,12271,3858,7681,732
BN16,13826,4438,8780,608
BN17,13850,4390,8631,829
BN18,6173,1824,4007,342
BN2,39911,13724,20550,5637
BN20,11832,4176,7085,571
BN21,11659,5171,5667,821
BN22,13636,4174,8556,906
BN23,13064,3935,8434,695
BN24,3826,1045,2591,190
BN25,11399,3847,6996,556
BN26,6229,1952,4008,269
BN27,13684,3895,9096,693
BN3,37010,13686,20146,3178
BN4,25725,7381,16754,1590
BN41,685,196,440,49
BN42,119,24,85,10
BN43,1251,430,761,60
BN44,272,105,160,7
BN5,3425,1010,2251,164
BN6,7751,2085,5357,309
BN7,8867,2868,5502,497
BN8,6886,1750,4831,305
BN9,5716,1739,3627,350
BR1,26027,7255,16729,2043
BR2,20355,5599,13571,1185
BR3,21602,6851,13499,1252
BR4,7067,1561,5116,390
BR5,20901,5632,13977,1292
BR6,18288,4596,12702,990
BR7,7406,1980,5053,373
BR8,9766,2644,6571,551
BS0,130,37,90,3
BS1,10320,4444,4129,1747
BS10,14026,3968,8711,1347
BS11,7702,2250,4807,645
BS12,32346,8696,21439,2211
BS13,14186,4117,9028,1041
BS14,13313,3670,8808,835
BS15,35706,9902,23715,2089
BS16,34821,9567,22255,2999
BS17,22860,5709,16035,1116
BS18,23831,6129,16550,1152
BS19,15634,4181,10780,673
BS2,8033,2685,3670,1678
BS20,14539,4267,9711,561
BS21,10478,3446,6646,386
BS22,17670,5254,11632,784
BS23,17202,7256,8874,1072
BS24,10666,2506,7539,621
BS25,2031,583,1354,94
BS26,1746,490,1171,85
BS27,2985,882,1973,130
BS28,1372,310,981,81
BS3,17773,5063,10309,2401
BS31,727,231,482,14
BS32,831,175,599,57
BS34,2344,515,1591,238
BS35,358,48,294,16
BS36,111,23,87,1
BS37,747,228,496,23
BS39,368,94,258,16
BS4,19592,5409,12464,1719
BS49,138,48,88,2
BS5,21368,6943,11648,2777
BS6,14694,4254,7666,2774
BS7,14550,3678,8330,2542
BS8,10393,3564,4905,1924
