outcode,1 person,2 people,3 people,4 people,5 person plus
AL1,5076,5601,2826,2661,1088
AL10,3582,3649,2512,2230,1529
AL2,2721,3316,1805,1661,719
AL3,2974,3903,1993,2114,775
AL4,2639,3362,1785,2089,731
AL5,2818,3740,1992,2479,870
AL6,1395,2215,963,983,349
AL7,4725,4684,2721,2234,1001
AL8,1595,1733,842,871,277
AL9,1066,1426,704,653,276
B1,4069,2780,547,249,177
B10,1805,1305,1123,1233,3162
B11,3009,2442,2038,2099,4675
B12,2588,1518,932,839,1786
B13,5898,4176,2091,1772,1841
B14,5758,5323,2813,2309,1473
B15,3481,2614,1086,753,530
B16,4530,2794,1172,965,1208
B17,4055,3543,1707,1495,950
B18,2445,1691,1057,891,1171
B19,2583,1431,1075,1049,1999
B2,321,139,19,6,0
B20,3596,2390,1757,1861,2929
B21,2131,1739,1368,1526,1910
B22,66,37,18,8,6
B23,8017,5905,3398,2504,2186
B24,3791,3354,1882,1521,1236
B25,1658,1452,979,898,1267
B26,4359,4390,2528,1950,1501
B27,3663,2783,1797,1387,1370
B28,2631,2856,1613,1645,1751
B29,4987,4449,2645,2257,2608
B3,483,398,41,10,11
B30,4532,4224,1981,1549,744
B31,8029,7636,4219,3083,1749
B32,5229,4611,2686,1981,1314
B33,4064,3437,2168,1680,1922
B34,2642,2139,1327,1006,996
B35,1296,1022,657,457,293
B36,3857,4034,2354,1943,1868
B37,4838,4469,2753,1913,1049
B38,2483,2440,1234,948,614
B4,595,373,137,76,73
B42,3144,3195,1975,1624,1159
B43,3383,3911,2177,1796,1015
B44,4049,3824,2450,1751,1352
B45,3977,4559,2359,1800,874
B46,1733,2295,1014,810,294
B47,1223,1750,705,636,237
B48,633,891,322,345,118
B49,1713,2306,752,647,227
B5,1763,1074,466,366,351
B50,800,1210,547,417,138
B6,1550,833,710,703,1614
B60,3837,4775,2164,1855,623
B61,2897,3609,1740,1345,554
B62,3186,3964,1915,1571,726
B63,4991,5483,2423,1951,929
B64,2679,2564,1365,922,722
B65,3286,3294,1884,1351,869
B66,2929,2091,1549,1603,2209
B67,2519,2638,1593,1613,1385
B68,3619,3503,2098,1831,1329
B69,3273,3233,1993,1656,1172
B7,1087,576,453,377,619
B70,4000,3176,1990,1791,1955
B71,3670,3652,2071,1801,1316
B72,1725,1859,822,771,311
B73,2346,2934,1418,1263,505
B74,3656,4780,2048,2179,886
B75,2779,3699,1852,1846,726
B76,2453,2858,1254,1143,394
B77,5919,8578,4398,3324,1503
B78,2773,4045,1926,1374,564
B79,3113,3886,1747,1258,554
B8,2220,1967,1574,1774,4507
B80,1073,1332,601,458,194
B9,1271,1021,813,944,2190
B90,6008,6899,3434,3308,1300
B91,3801,4896,2222,2155,972
B92,4032,4511,2210,1943,961
B93,2186,2987,1216,1403,469
B94,658,1223,459,454,177
B95,1048,1211,407,334,115
B96,588,853,348,273,106
B97,4451,5338,2483,1912,860
B98,5059,6714,3462,2635,1383
BA1,7257,7693,2903,2528,973
BA10,669,809,325,242,115
BA11,4805,5997,2589,2082,864
BA12,4121,5396,1985,1386,595
BA13,2679,3554,1506,1178,525
BA14,6366,8028,3577,2979,1218
BA15,2075,2414,860,839,239
BA16,2050,2101,885,715,351
BA2,8230,10050,4430,4139,2019
BA20,2291,2417,886,702,264
BA21,4409,5254,2553,1981,855
BA22,2092,3351,1102,961,419
BA3,4053,5869,2624,2299,960
BA4,2185,2994,1240,1009,402
BA5,2958,3365,1097,945,399
BA6,1856,2285,874,549,233
BA7,650,676,240,157,71
BA8,626,974,322,263,118
BA9,982,1223,510,374,182
BB0,68,23,20,4,11
BB1,7160,7055,4119,3797,4644
BB10,5566,5488,2620,1948,1917
BB11,3805,3458,1855,1174,702
BB12,4692,5451,2398,1823,896
BB18,2462,2993,1255,901,415
BB2,7464,7207,3742,3149,2602
BB3,4932,4991,2259,1610,768
BB4,5791,6136,2864,2255,1115
BB5,8444,8239,4139,2801,2247
BB6,3296,3919,1672,1266,555
BB7,3474,4061,1713,1367,483
BB8,3714,3778,1604,1199,566
BB9,5096,4426,2294,1885,3065
BD1,2449,1100,550,405,627
BD10,4245,4592,2233,1649,853
BD11,1666,2178,895,819,280
BD12,2659,2878,1285,910,484
BD13,3914,4719,2219,1681,755
BD14,1105,1179,542,406,301
BD15,2057,2143,1057,868,870
BD16,4065,4423,1768,1403,565
BD17,3164,3247,1215,932,305
BD18,4071,3508,1644,1340,1048
BD19,3080,3474,1566,1223,448
BD2,3463,3211,1698,1486,1591
BD20,5181,6622,2469,2110,1088
BD21,3680,3040,1483,1166,1636
BD22,3385,4024,1670,1264,583
BD23,4677,5508,1779,1403,572
BD24,761,963,250,184,63
BD3,2218,1659,1344,1429,2996
BD4,4238,3582,2212,1620,1433
BD5,2765,1916,1369,1300,2371
BD6,3648,3860,2154,1652,1079
BD7,2574,1920,1420,1334,2476
BD8,2520,1643,1187,1226,2872
BD9,1662,1319,993,1066,2488
BH1,6250,4622,1874,1081,548
BH10,2949,3642,1649,1414,648
BH11,2373,3028,1456,1065,575
BH12,4789,5742,2701,2096,1023
BH13,1443,1806,377,296,105
BH14,3464,3820,1449,1268,445
BH15,5124,5455,2301,1764,794
BH16,1724,2550,1018,951,382
BH17,2556,3646,1711,1408,531
BH18,1154,1936,669,647,214
BH19,1814,2212,677,422,189
BH2,2445,1763,518,265,77
BH20,2520,3466,1253,1037,482
BH21,6205,9579,3692,3155,1236
