outcode,Managers,Professionals,Assosiates,Administrative,Skilled Trades,Caring and Leisure,Sales and customer Service,Process Plant & Machine,Elementry
AL1,4350,7286,3598,1609,1145,1203,1065,611,1237
AL10,1858,3125,2058,1537,1626,2012,2110,1371,3355
AL2,2326,2916,1793,1239,1095,1031,781,576,812
AL3,3055,4255,2168,1150,920,939,600,401,722
AL4,2558,3722,2091,1163,883,884,631,412,734
AL5,3540,4868,2342,1097,646,667,500,253,513
AL6,1724,1876,1121,717,505,405,335,192,311
AL7,2256,3885,2784,1943,1880,1710,1391,1091,1685
AL8,1020,1612,888,564,459,436,361,213,335
AL9,1161,1174,709,589,391,319,280,210,308
B1,959,3020,1313,661,367,424,511,207,814
B10,503,1213,683,715,749,1023,1207,1297,1879
B11,1044,1994,1258,1328,1397,1687,1811,2160,2703
B12,517,1464,844,620,450,874,647,741,1296
B13,1955,5091,2212,1419,1048,1254,1129,930,1404
B14,1807,4125,2328,1732,1870,1864,1392,1256,1916
B15,1271,3673,1187,691,320,612,585,254,866
B16,1057,3061,1355,819,632,1010,801,779,1648
B17,1747,5444,1621,975,543,769,610,460,900
B18,402,1215,692,594,479,822,590,751,1348
B19,405,927,657,547,620,1041,733,850,1867
B2,43,157,66,40,7,7,23,12,41
B20,1266,2900,1583,1466,1042,1565,1314,1479,2417
B21,511,985,693,773,846,1099,853,1273,2133
B22,9,40,10,10,12,11,3,4,11
B23,1661,3317,2348,1902,1885,2459,1821,2381,3779
B24,1106,2131,1431,1249,1192,1335,1079,1263,1735
B25,499,850,581,609,594,737,689,849,1087
B26,1471,2633,1901,1875,1869,1724,1396,1588,1925
B27,993,1945,1307,1155,1133,1275,1070,1144,1551
B28,1311,3206,1589,1317,971,1086,1175,955,1160
B29,1398,4655,2073,1382,1129,1794,1333,914,1880
B3,142,466,194,68,30,35,62,30,71
B30,1472,4164,2003,1269,1032,1331,863,757,1119
B31,2220,4970,3013,2647,2661,3047,1925,1802,2762
B32,1244,3049,1725,1464,1436,1910,1079,1153,1871
B33,785,1613,1125,1229,1274,1617,1200,1682,2223
B34,543,1015,732,832,821,943,717,970,1229
B35,191,297,277,334,319,475,378,442,601
B36,1314,2148,1606,1606,1541,1725,1372,1666,2041
B37,1166,1805,1507,1534,1569,1742,1284,1567,2242
B38,758,1413,874,736,729,861,549,516,816
B4,135,452,223,147,87,139,325,67,370
B42,1073,2273,1593,1497,1182,1265,1026,1199,1610
B43,1499,2655,1941,1717,1502,1328,1134,1253,1366
B44,1013,1719,1364,1398,1755,1822,1223,1461,2150
B45,1910,2949,1779,1418,1532,1478,989,935,1343
B46,1147,1290,984,887,839,543,402,501,607
B47,817,1198,663,540,547,337,263,207,260
B48,482,735,367,238,240,159,127,78,136
B49,1085,1153,766,577,697,454,444,272,502
B5,325,1022,462,254,178,328,231,195,499
B50,628,734,494,355,462,242,291,191,301
B6,299,628,438,409,473,601,530,789,1254
B60,2484,3760,2147,1476,1568,1230,881,707,1073
B61,1697,2462,1474,1176,1404,1150,705,650,1026
B62,1684,2685,1778,1452,1330,1050,916,845,950
B63,1740,2999,2207,1911,2003,1553,1378,1203,1660
B64,793,1273,1010,822,1083,899,762,922,1067
B65,966,1428,1209,1243,1347,1245,1031,1244,1431
B66,655,1524,955,791,981,1272,1140,1535,2584
B67,881,1993,1259,1018,1048,1165,958,1171,1837
B68,1228,2150,1565,1358,1418,1418,1096,1422,1842
B69,1098,1763,1346,1166,1455,1361,1199,1623,1961
B7,95,246,169,127,158,310,212,323,670
B70,844,1493,1019,1160,1392,1401,1170,2094,2776
B71,1032,1693,1305,1360,1513,1445,1151,1763,2093
B72,1149,2005,928,623,383,328,281,183,320
B73,1579,2931,1388,950,745,594,548,380,580
B74,3017,4203,2111,1716,1152,926,810,558,787
B75,2006,3373,1715,1346,1034,929,696,546,891
B76,1332,2273,1242,1107,785,614,490,448,626
B77,3080,3504,3200,2996,3092,2448,2629,3008,4217
B78,1534,1853,1571,1273,1490,1111,982,1095,1642
B79,1577,1820,1354,1118,1229,980,922,1010,1568
B8,683,1650,923,1020,942,1446,1523,2135,2578
B80,588,771,521,396,460,348,291,282,414
B9,398,895,473,505,543,773,733,952,1371
