outcode,total_applications,successful_applications,success_rate
A4,1,0,0.0
AB10,469,347,73.99
AB11,378,275,72.75
AB12,260,198,76.15
AB13,72,50,69.44
AB14,41,25,60.98
AB15,699,566,80.97
AB16,49,36,73.47
AB21,275,215,78.18
AB22,60,44,73.33
AB23,145,110,75.86
AB24,276,217,78.62
AB25,178,139,78.09
AB30,151,105,69.54
AB31,230,179,77.83
AB32,123,100,81.3
AB33,98,76,77.55
AB34,206,157,76.21
AB35,334,159,47.6
AB36,23,14,60.87
AB37,82,36,43.9
AB38,108,74,68.52
AB39,331,273,82.48
AB41,231,185,80.09
AB42,329,259,78.72
AB43,190,144,75.79
AB44,26,24,92.31
AB45,268,219,81.72
AB51,415,311,74.94
AB52,64,51,79.69
AB53,153,113,73.86
AB54,242,194,80.17
AB55,123,87,70.73
AB56,208,151,72.6
AL1,2491,453,18.19
AL10,1067,692,64.85
AL2,1114,182,16.34
AL3,2203,492,22.33
AL4,1678,215,12.81
AL5,2691,484,17.99
AL6,1590,927,58.3
AL7,1635,1226,74.98
AL8,2984,2384,79.89
AL9,927,623,67.21
B1,337,163,48.37
B10,303,125,41.25
B11,498,188,37.75
B12,385,175,45.45
B13,599,170,28.38
B14,460,131,28.48
B15,457,133,29.1
B16,267,66,24.72
B17,542,130,23.99
B18,268,86,32.09
B19,211,53,25.12
B2,110,21,19.09
B20,423,106,25.06
B21,251,68,27.09
B23,352,88,25.0
B24,369,119,32.25
B25,216,69,31.94
B26,377,116,30.77
B27,275,80,29.09
B28,512,141,27.54
B29,918,350,38.13
B3,225,92,40.89
B30,432,140,32.41
B31,516,164,31.78
B32,307,85,27.69
B33,370,112,30.27
B34,167,64,38.32
B35,50,26,52.0
B36,363,202,55.65
B37,194,154,79.38
B38,192,83,43.23
B3O,1,1,100.0
B4,172,74,43.02
B40,18,18,100.0
B42,285,131,45.96
B43,363,191,52.62
B44,300,101,33.67
B45,626,465,74.28
B46,612,446,72.88
B47,298,248,83.22
B48,404,294,72.77
B49,878,205,23.35
B5,325,126,38.77
B50,269,75,27.88
B6,218,72,33.03
B60,861,613,71.2
B61,721,543,75.31
B62,444,155,34.91
B63,333,60,18.02
B64,143,71,49.65
B65,158,88,55.7
B66,271,122,45.02
B67,236,151,63.98
B68,334,206,61.68
B69,293,164,55.97
B7,117,49,41.88
B70,399,227,56.89
B71,300,186,62.0
B72,211,47,22.27
B73,423,59,13.95
B74,951,319,33.54
B75,555,138,24.86
B76,463,199,42.98
B77,817,175,21.42
B78,681,479,70.34
B79,804,307,38.18
B8,410,136,33.17
B80,341,93,27.27
B9,306,120,39.22
B90,908,683,75.22
B91,1074,840,78.21
B92,784,571,72.83
B93,771,609,78.99
B94,851,378,44.42
B95,816,208,25.49
B96,464,282,60.78
B97,622,515,82.8
B98,579,421,72.71
BA1,2898,2015,69.53
BA10,419,85,20.29
BA11,1985,1548,77.98
BA12,1144,396,34.62
BA13,499,174,34.87
BA14,1003,267,26.62
BA15,585,181,30.94
BA16,434,348,80.18
BA2,3464,2333,67.35
BA20,434,76,17.51
BA21,481,89,18.5
BA22,1351,431,31.9
BA3,1167,850,72.84
BA4,1325,970,73.21
BA5,1239,931,75.14
BA6,785,557,70.96
BA7,294,74,25.17
BA8,351,80,22.79
BA9,582,121,20.79
BB1,1322,580,43.87
BB10,742,84,11.32
BB11,736,107,14.54
BB12,910,137,15.05
BB18,436,79,18.12
BB2,991,515,51.97
BB3,418,287,68.66
BB4,1316,299,22.72
BB5,1353,44,3.25
BB6,545,34,6.24
BB7,2640,241,9.13
BB8,720,116,16.11
BB9,1196,147,12.29
BD1,230,158,68.7
BD10,330,210,63.64
BD11,232,100,43.1
BD12,192,106,55.21
BD13,456,271,59.43
BD14,115,57,49.57
BD15,207,129,62.32
BD16,498,303,60.84
BD17,347,211,60.81
BD18,396,300,75.76
BD19,458,121,26.42
BD2,490,333,67.96
BD20,1310,512,39.08
BD21,317,229,72.24
BD22,700,308,44.0
BD23,2236,570,25.49
BD24,412,96,23.3
BD3,362,253,69.89
BD4,337,193,57.27
BD5,365,259,70.96
BD6,306,188,61.44
BD7,508,353,69.49
BD8,410,287,70.0
BD9,547,359,65.63
BD97,2,2,100.0
BD98,2,0,0.0
BE16,7,7,100.0
BH1,625,448,71.68
BH10,377,283,75.07
BH11,302,151,50.0
BH12,572,47,8.22
BH13,978,79,8.08
BH14,1354,88,6.5
BH15,821,84,10.23
BH16,415,281,67.71
BH17,310,18,5.81
BH18,590,76,12.88
BH19,495,360,72.73
BH2,384,278,72.4
BH20,850,631,74.24
BH21,1813,1119,61.72
BH22,955,720,75.39
BH23,2089,1294,61.94
BH24,1720,727,42.27
BH25,911,107,11.75
BH3,280,215,76.79
BH31,331,233,70.39
BH4,420,318,75.71
BH5,279,211,75.63
BH6,586,459,78.33
BH7,211,162,76.78
BH8,593,430,72.51
BH9,522,412,78.93
BL0,339,70,20.65
BL1,1290,201,15.58
BL2,565,86,15.22
BL3,790,127,16.08
BL4,355,82,23.1
BL5,377,58,15.38
BL6,730,160,21.92
BL7,451,171,37.92
BL8,433,57,13.16
BL9,629,76,12.08
BN1,2616,1952,74.62
BN10,478,353,73.85
BN11,1530,1180,77.12
BN12,1081,817,75.58
BN13,880,677,76.93
BN14,1216,922,75.82
BN15,879,693,78.84
BN16,1740,1223,70.29
BN17,968,615,63.53
BN18,1339,899,67.14
BN2,1917,1412,73.66
BN20,1012,911,90.02
BN21,987,940,95.24
BN22,654,614,93.88
BN23,470,463,98.51
BN24,482,369,76.56
BN25,822,625,76.03
BN26,821,635,77.34
BN27,2041,1465,71.78
BN3,2237,1711,76.49
BN41,299,238,79.6
BN42,385,330,85.71
BN43,1066,907,85.08
BN44,764,584,76.44
BN45,49,29,59.18
BN5,788,527,66.88
BN6,1805,1281,70.97
BN7,1224,810,66.18
BN8,1869,1357,72.61
BN88,3,3,100.0
BN9,339,238,70.21
BR1,1667,1014,60.83
BR11,2,0,0.0
BR2,1473,992,67.35
BR3,1587,1073,67.61
BR4,536,360,67.16
BR5,1131,718,63.48
BR6,1736,1086,62.56
BR7,1177,820,69.67
BR8,1112,511,45.95
BS1,908,118,13.0
BS10,628,182,28.98
BS11,371,84,22.64
BS13,297,53,17.85
BS14,298,75,25.17
BS15,585,98,16.75
BS16,1519,346,22.78
BS2,578,114,19.72
BS20,670,491,73.28
BS21,549,402,73.22
BS22,340,241,70.88
BS23,734,544,74.11
BS24,378,302,79.89
BS25,249,194,77.91
BS26,397,351,88.41
BS27,375,336,89.6
BS28,375,347,92.53
BS29,84,66,78.57
BS3,747,219,29.32
BS30,592,99,16.72
BS31,461,294,63.77
BS32,405,67,16.54
BS34,657,128,19.48
BS35,750,113,15.07
BS36,450,55,12.22
BS37,760,111,14.61
BS39,421,240,57.01
BS4,676,179,26.48
BS40,726,483,66.53
BS41,252,191,75.79
BS48,622,434,69.77
BS49,234,172,73.5
BS5,616,157,25.49
BS6,1159,585,50.47
BS7,931,228,24.49
BS8,1504,697,46.34
BS9,1353,610,45.08
BS99,1,0,0.0
BT1,351,223,63.53
BT10,82,61,74.39
BT11,177,122,68.93
BT12,207,132,63.77
BT13,106,56,52.83
BT14,165,93,56.36
BT15,197,96,48.73
BT16,87,48,55.17
BT17,199,136,68.34
BT18,316,227,71.84
BT19,318,228,71.7
BT2,119,57,47.9
BT20,252,192,76.19
BT21,120,90,75.0
BT22,325,238,73.23
BT23,555,390,70.27
BT24,222,109,49.1
BT25,191,113,59.16
BT26,177,122,68.93
BT27,249,156,62.65
BT28,362,219,60.5
BT29,206,111,53.88
BT3,61,32,52.46
BT30,450,216,48.0
BT31,115,53,46.09
BT32,304,203,66.78
BT33,134,61,45.52
BT34,903,366,40.53
BT35,669,337,50.37
BT36,326,207,63.5
BT37,157,101,64.33
BT38,213,155,72.77
BT39,316,193,61.08
BT4,284,180,63.38
BT40,156,116,74.36
BT41,541,354,65.43
BT42,335,258,77.01
BT43,154,118,76.62
BT44,210,153,72.86
BT45,256,190,74.22
BT46,70,52,74.29
BT47,637,411,64.52
BT48,587,392,66.78
BT49,138,94,68.12
BT5,334,204,61.08
BT51,190,145,76.32
BT52,86,56,65.12
BT53,124,84,67.74
BT54,79,50,63.29
BT55,73,59,80.82
BT56,68,50,73.53
BT57,49,34,69.39
BT6,222,152,68.47
BT60,363,227,62.53
BT61,226,155,68.58
BT62,292,204,69.86
BT63,256,171,66.8
BT64,20,15,75.0
BT65,25,17,68.0
BT66,256,194,75.78
BT67,289,215,74.39
BT68,10,6,60.0
BT69,15,9,60.0
BT7,232,120,51.72
BT70,154,99,64.29
BT71,292,197,67.47
BT73,1,1,100.0
BT74,208,142,68.27
BT75,42,28,66.67
BT76,14,10,71.43
BT77,10,8,80.0
BT78,384,267,69.53
BT79,340,220,64.71
BT8,293,175,59.73
BT80,172,126,73.26
BT81,130,88,67.69
BT82,309,232,75.08
BT9,543,352,64.83
BT92,280,173,61.79
BT93,188,114,60.64
BT94,256,174,67.97
C01,4,0,0.0
C03,2,0,0.0
C05,3,2,66.67
C06,1,0,0.0
C07,9,1,11.11
CA1,466,390,83.69
CA10,1057,238,22.52
CA11,1442,436,30.24
CA12,452,78,17.26
CA13,990,416,42.02
CA14,773,242,31.31
CA15,636,345,54.25
CA16,542,163,30.07
CA17,366,77,21.04
CA18,10,1,10.0
CA19,57,8,14.04
CA2,418,348,83.25
CA20,39,3,7.69
CA23,17,2,11.76
CA26,5,2,40.0
CA28,4,1,25.0
CA3,698,570,81.66
CA4,803,516,64.26
CA5,735,540,73.47
CA6,958,793,82.78
CA7,1950,916,46.97
CA8,714,541,75.77
CA9,213,52,24.41
CB1,3232,1865,57.7
CB10,2031,550,27.08
CB11,2045,470,22.98
CB2,2412,1433,59.41
CB21,1975,1195,60.51
CB22,2829,1709,60.41
CB23,2587,1773,68.53
CB24,2522,1487,58.96
CB25,1611,1039,64.49
CB3,2055,1283,62.43
CB4,2490,1382,55.5
CB5,1033,553,53.53
CB6,2067,1233,59.65
CB7,1925,1280,66.49
CB8,2442,1724,70.6
CB9,849,629,74.09
CF1,1,1,100.0
CF10,545,316,57.98
CF11,456,306,67.11
CF14,1211,901,74.4
CF15,312,214,68.59
CF23,665,502,75.49
CF24,600,411,68.5
CF3,383,202,52.74
CF31,521,135,25.91
CF32,307,68,22.15
CF33,116,30,25.86
CF34,165,34,20.61
CF35,236,71,30.08
CF36,316,71,22.47
CF37,461,309,67.03
CF38,239,185,77.41
CF39,281,189,67.26
CF40,202,137,67.82
CF41,107,71,66.36
CF42,118,73,61.86
CF43,89,65,73.03
CF44,470,313,66.6
CF45,138,94,68.12
CF46,164,91,55.49
CF47,197,116,58.88
CF48,297,190,63.97
CF5,589,394,66.89
CF61,7,4,57.14
CF62,15,12,80.0
CF63,2,2,100.0
CF64,22,16,72.73
CF71,16,7,43.75
CF72,476,365,76.68
CF81,92,56,60.87
CF82,153,88,57.52
CF83,530,301,56.79
CF99,1,1,100.0
CH1,698,360,51.58
CH2,560,365,65.18
CH3,972,568,58.44
CH4,641,402,62.71
CH41,225,55,24.44
CH42,175,28,16.0
CH43,259,41,15.83
CH44,127,34,26.77
CH45,199,27,13.57
CH46,151,23,15.23
CH47,145,26,17.93
CH48,338,55,16.27
CH49,183,35,19.13
CH5,492,331,67.28
CH52,1,1,100.0
CH6,144,97,67.36
CH60,358,45,12.57
CH61,208,39,18.75
CH62,228,38,16.67
CH63,315,52,16.51
CH64,457,267,58.42
CH65,242,137,56.61
CH66,285,169,59.3
CH7,849,578,68.08
CH8,410,260,63.41
CM0,770,484,62.86
CM1,3145,2075,65.98
CM11,1207,744,61.64
CM12,1388,943,67.94
CM13,2062,1530,74.2
CM14,1276,870,68.18
CM15,1795,1353,75.38
CM16,2103,535,25.44
CM17,999,559,55.96
CM18,395,278,70.38
CM19,656,278,42.38
CM2,2819,1974,70.02
CM20,707,454,64.21
CM21,723,137,18.95
CM22,1811,294,16.23
CM23,2248,493,21.93
CM24,584,186,31.85
CM25,2,2,100.0
CM3,3440,2150,62.5
CM4,1537,957,62.26
CM5,1301,349,26.83
CM6,2842,507,17.84
CM7,1518,852,56.13
CM77,484,253,52.27
CM8,1076,621,57.71
CM9,1999,1168,58.43
CO1,885,51,5.76
CO10,3633,2810,77.35
CO11,1231,756,61.41
CO12,846,469,55.44
CO13,999,712,71.27
CO14,230,148,64.35
CO15,1168,773,66.18
CO16,1482,918,61.94
CO2,974,110,11.29
CO3,1526,148,9.7
CO4,1320,138,10.45
CO5,1644,358,21.78
CO6,2512,958,38.14
CO7,2912,1575,54.09
CO8,272,188,69.12
CO9,1238,839,67.77
CR0,3154,1923,60.97
CR2,1500,993,66.2
CR3,1748,1114,63.73
CR4,1235,319,25.83
CR5,1478,744,50.34
CR6,830,517,62.29
CR7,913,529,57.94
CR8,1647,1041,63.21
CR9,64,36,56.25
CT1,1820,1368,75.16
CT10,1436,987,68.73
CT11,1048,709,67.65
CT12,648,447,68.98
CT13,893,544,60.92
CT14,2285,1488,65.12
CT15,1244,701,56.35
CT16,817,532,65.12
CT17,586,424,72.35
