outcode,2011,2021,2030,2050,Change 2000-2010 (%),Change 2010-2020 (%),Change 2020-2030 (%)
AL1,141248.0,148256.0,148114.0,157021.79,8.34,6.01,0.15
AL10,110727.0,125266.0,130593.0,146503.28,12.73,13.64,4.82
AL2,120813.5,126714.5,127399.0,135106.16,7.0,5.74,0.95
AL3,145298.0,156616.0,161082.0,173651.95,8.34,8.48,3.36
AL4,119110.5,129872.5,133760.5,146995.59,8.61,6.08,1.95
AL5,198446.0,220649.0,229882.5,255345.82,8.58,10.45,3.8
AL6,132824.5,141367.5,142521.0,152254.84,8.61,7.79,3.34
AL7,110727.0,125266.0,130593.0,146503.28,12.73,13.64,4.82
AL8,110727.0,125266.0,130593.0,146503.28,12.73,13.64,4.82
AL9,124441.0,138005.5,143598.0,159361.84,9.96,11.54,4.67
B1,1074283.0,1157285.0,1194895.0,1317103.43,7.71,8.64,3.65
B10,1074283.0,1157285.0,1194895.0,1317103.43,7.71,8.64,3.65
B11,1074283.0,1157285.0,1194895.0,1317103.43,7.71,8.64,3.65
B12,1074283.0,1157285.0,1194895.0,1317103.43,7.71,8.64,3.65
B13,1074283.0,1157285.0,1194895.0,1317103.43,7.71,8.64,3.65
B14,206856.0,219139.0,230362.0,252149.78,7.43,7.49,5.81
B15,1074283.0,1157285.0,1194895.0,1317103.43,7.71,8.64,3.65
B16,691662.5,745508.0,771393.0,851956.5,7.55,8.49,4.26
B17,1074283.0,1157285.0,1194895.0,1317103.43,7.71,8.64,3.65
B18,691662.5,745508.0,771393.0,851956.5,7.55,8.49,4.26
B19,1074283.0,1157285.0,1194895.0,1317103.43,7.71,8.64,3.65
B2,1074283.0,1157285.0,1194895.0,1317103.43,7.71,8.64,3.65
B20,1074283.0,1157285.0,1194895.0,1317103.43,7.71,8.64,3.65
B21,691662.5,745508.0,771393.0,851956.5,7.55,8.49,4.26
B23,1074283.0,1157285.0,1194895.0,1317103.43,7.71,8.64,3.65
B24,1074283.0,1157285.0,1194895.0,1317103.43,7.71,8.64,3.65
B25,1074283.0,1157285.0,1194895.0,1317103.43,7.71,8.64,3.65
B26,640569.5,688212.0,712628.5,784626.6,5.7,7.08,4.73
B27,640569.5,688212.0,712628.5,784626.6,5.7,7.08,4.73
B28,640569.5,688212.0,712628.5,784626.6,5.7,7.08,4.73
B29,1074283.0,1157285.0,1194895.0,1317103.43,7.71,8.64,3.65
B3,1074283.0,1157285.0,1194895.0,1317103.43,7.71,8.64,3.65
B30,1074283.0,1157285.0,1194895.0,1317103.43,7.71,8.64,3.65
B31,584007.5,629366.0,651795.0,719650.73,7.57,8.07,5.9
B32,584007.5,629366.0,651795.0,719650.73,7.57,8.07,5.9
B33,1074283.0,1157285.0,1194895.0,1317103.43,7.71,8.64,3.65
B34,1074283.0,1157285.0,1194895.0,1317103.43,7.71,8.64,3.65
B35,1074283.0,1157285.0,1194895.0,1317103.43,7.71,8.64,3.65
B36,640569.5,688212.0,712628.5,784626.6,5.7,7.08,4.73
B37,640569.5,688212.0,712628.5,784626.6,5.7,7.08,4.73
B38,584007.5,629366.0,651795.0,719650.73,7.57,8.07,5.9
B4,1074283.0,1157285.0,1194895.0,1317103.43,7.71,8.64,3.65
B40,206856.0,219139.0,230362.0,252149.78,3.68,5.52,5.81
