outcode,total_households,poverty_pct
AL1,17257,38.14
AL10,13495,53.29
AL2,10227,45.19
AL3,11738,39.56
AL4,10624,41.31
AL5,11943,34.33
AL6,5907,38.72
AL7,15374,50.56
AL8,5320,46.28
AL9,4125,41.7
B1,7820,43.07
B10,8629,74.98
B11,14236,71.44
B12,7694,68.88
B13,15774,53.96
B14,17670,57.61
B15,8467,42.6
B16,10673,57.28
B17,11768,45.44
B18,7266,64.08
B19,8146,74.05
B2,486,49.59
B20,12513,63.86
B21,8663,68.01
B22,131,62.6
B23,21983,62.13
B24,11779,59.21
B25,6236,66.31
B26,14721,57.27
B27,11019,62.48
B28,10463,52.81
B29,16931,57.37
B3,948,35.13
B30,13001,51.41
B31,24726,58.74
B32,15833,61.72
B33,13262,68.33
B34,8106,68.06
B35,3737,69.82
B36,14068,61.91
B37,15018,64.7
B38,7719,61.17
B4,1250,45.76
B42,11086,52.78
B43,12279,52.06
B44,13431,63.47
B45,13568,54.72
B46,6126,47.75
B47,4549,47.09
B48,2312,44.46
B49,5644,46.55
B5,4024,57.38
B50,3118,43.49
B6,5427,74.22
B60,13242,44.39
B61,10123,48.87
B62,11367,49.35
B63,15794,54.27
B64,8259,61.98
B65,10705,60.16
B66,10373,66.22
B67,9751,59.92
B68,12359,59.82
B69,11334,59.0
B7,3110,76.53
B70,12897,67.82
B71,12514,62.87
B72,5494,41.46
B73,8457,43.63
B74,13527,43.46
B75,10918,46.04
B76,8114,46.86
B77,23687,53.99
B78,10646,52.27
B79,10541,53.31
B8,12026,75.2
B80,3664,49.65
B9,6233,73.22
B90,20961,44.32
B91,14069,40.32
B92,13678,49.33
B93,8283,38.9
B94,2967,38.25
B95,3120,47.79
B96,2168,42.3
B97,14999,49.3
B98,19258,57.16
BA1,21375,43.31
BA10,2161,45.12
BA11,16372,47.89
BA12,13485,49.96
BA13,9441,50.06
BA14,22173,49.99
BA15,6440,43.8
BA16,6104,53.08
BA2,28847,46.33
BA20,6563,47.78
BA21,15069,51.42
BA22,7931,43.79
BA3,15804,49.46
BA4,7829,48.36
BA5,8744,47.61
BA6,5793,49.16
BA7,1802,51.05
BA8,2309,48.98
BA9,3282,49.09
BB0,126,78.57
BB1,26758,59.27
BB10,17549,59.98
BB11,11003,59.99
BB12,15270,53.03
BB18,8022,50.8
BB2,24137,57.64
BB3,14552,54.48
BB4,18202,51.15
BB5,25864,58.58
BB6,10719,45.98
BB7,11093,43.65
BB8,10871,54.29
BB9,16709,64.73
BD1,5118,65.4
BD10,13567,51.21
BD11,5860,45.53
BD12,8219,56.83
BD13,13284,49.85
BD14,3550,57.07
BD15,6999,56.15
BD16,12221,46.37
BD17,8868,48.57
BD18,11618,54.13
BD19,9791,49.91
BD2,11447,59.0
BD20,17487,45.11
BD21,11003,64.26
BD22,10919,49.4
BD23,13907,44.93
BD24,2214,46.12
BD3,9634,71.1
BD4,13087,63.98
BD5,9668,71.9
BD6,12367,57.52
BD7,9717,68.83
BD8,9455,73.16
BD9,7534,63.84
BH1,14378,58.93
BH10,10306,55.94
BH11,8498,61.04
BH12,16332,54.11
BH13,4026,41.38
BH14,10455,41.64
BH15,15445,53.38
BH16,6618,52.51
BH17,9857,50.99
BH18,4616,43.8
BH19,5324,52.7
BH2,5065,54.29
BH20,8758,51.29
BH21,23861,45.92
BH22,12546,53.58
BH23,25085,50.98
BH24,10521,47.68
BH25,11923,53.66
BH3,2787,46.25
BH31,195,39.49
BH4,4314,46.71
BH5,5414,52.81
BH6,10703,47.75
BH7,3590,45.35
BH8,11987,52.99
BH9,10553,47.74
BL0,8457,44.27
BL1,28915,57.27
BL11,107,94.39
BL2,20579,56.76
BL3,25302,64.13
BL4,14019,62.14
BL5,12265,49.25
BL6,13116,48.45
BL7,6123,40.73
BL8,14918,47.4
BL9,21542,58.63
BN1,38148,49.81
BN10,8776,58.33
BN11,17856,55.18
BN12,10358,51.95
BN13,13092,51.54
BN14,12636,48.28
BN15,12285,58.08
BN16,13818,52.76
BN17,13864,56.7
BN18,6165,47.45
BN2,39943,56.71
BN20,11848,50.32
BN21,11629,57.21
BN22,13640,59.06
BN23,13120,57.51
BN24,3849,52.46
BN25,11418,53.43
BN26,6226,52.59
BN27,13673,53.65
BN3,36979,48.81
BN4,25701,51.71
BN41,676,63.76
BN42,119,61.34
BN43,1252,44.01
BN44,269,55.39
BN5,3439,45.59
BN6,7742,42.38
BN7,8882,46.85
BN8,6883,44.63
BN9,5720,59.3
BR1,26017,47.9
BR2,20359,42.25
BR3,21599,41.68
BR4,7065,43.18
BR5,20851,52.52
BR6,18282,44.55
BR7,7382,40.87
BR8,9746,55.38
BS0,130,52.31
BS1,10324,45.6
BS10,14005,54.89
BS11,7720,59.75
BS12,32378,45.6
BS13,14208,60.12
BS14,13297,53.43
BS15,35642,48.99
BS16,34828,47.45
BS17,22885,47.77
BS18,23825,44.44
BS19,15639,44.61
BS2,8007,54.36
BS20,14515,42.32
BS21,10469,47.36
BS22,17661,52.39
BS23,17180,58.8
BS24,10647,47.49
BS25,2043,44.93
BS26,1748,43.82
BS27,2983,46.23
BS28,1378,42.31
BS3,17750,44.19
BS31,728,37.23
BS32,825,31.15
BS34,2344,36.6
BS35,360,26.94
BS36,111,29.73
BS37,747,42.17
BS39,366,32.79
BS4,19585,51.58
BS49,138,55.07
BS5,21413,53.88
BS6,14687,40.53
BS7,14536,45.09
BS8,10394,39.39
BS9,11600,40.34
CA1,11910,54.11
CA10,7556,45.14
CA11,10369,49.41
CA12,3432,45.4
CA13,7530,43.75
CA14,16711,54.98
