outcode,Avg sold price,Avg sold price (Detached),Avg sold price (Semi-detached),Avg sold price (Terraced),Avg sold price (Flat)
AL1,624480.95,647085.42,416699.92,342543.45,225510.84
AL10,552731.78,340415.32,236401.46,206317.66,151424.86
AL2,475880.85,454839.05,319717.58,287915.58,195066.1
AL3,501724.02,605119.63,379654.28,343737.13,227275.58
AL4,468919.75,539532.44,383503.6,295448.8,184233.34
AL5,672118.9,820046.65,466998.16,363422.01,272669.22
AL6,591798.26,649899.6,397023.28,343995.4,291860.42
AL7,407934.32,327257.68,240804.5,226198.07,175271.52
AL8,489215.31,501742.99,348615.2,293292.53,279818.56
AL9,657528.3,741214.85,409145.91,339765.01,248961.44
B1,1709113.14,268000.0,207428.57,314988.79,195278.69
B10,166625.34,175874.24,106680.52,100878.25,74220.1
B11,247970.78,186030.32,114921.37,103391.66,94734.95
B12,318883.54,174463.82,112849.48,107276.78,109842.18
B13,207840.99,322839.29,206032.08,183745.02,121863.65
B14,176068.55,210051.27,146838.99,134880.82,83151.39
B15,842593.48,601012.82,339193.62,208643.17,173261.24
B16,351370.18,256903.8,181934.59,139843.68,120440.91
B17,269828.37,371461.06,240805.24,198901.6,129249.73
B18,243958.83,179464.1,101825.88,94712.56,118301.41
B19,181715.21,165230.51,101529.09,88817.33,105165.23
B2,7129179.19,5841548.0,,71250.0,365559.41
B20,151042.11,206180.88,139900.82,118886.17,85255.08
B21,143440.19,151368.49,93910.43,86704.35,92231.04
B23,128038.71,171965.66,114024.38,108390.12,82413.89
B24,354084.84,189464.39,135169.88,121939.43,97255.93
B25,158635.44,168653.34,108343.15,104983.24,71830.98
B26,343032.3,184631.7,132062.4,132230.06,92325.74
B27,163609.74,189218.23,128763.72,124643.66,94027.8
B28,195822.29,221054.42,166062.62,164017.97,103917.33
B29,480917.73,294421.8,162190.58,145103.44,109115.93
B3,5421939.08,237222.22,179907.5,1090505.56,204403.75
B30,195382.8,263167.76,175170.37,149041.34,113300.59
B31,150926.72,204505.62,135537.12,116193.25,95654.39
