outcode,Price to Income,Rent to Income
AL1,881.87,3.03
AL10,1165.38,3.27
AL2,811.07,3.34
AL3,780.51,3.63
AL4,755.68,3.79
AL5,963.29,3.49
AL6,973.48,4.62
AL7,827.75,3.06
AL8,867.97,2.82
AL9,1247.33,4.6
B1,3828.51,3.81
B10,499.98,3.12
B11,712.85,3.68
B12,930.07,3.65
B13,457.51,2.56
B14,408.96,2.73
B15,1950.48,3.86
B16,862.47,3.46
B17,517.33,3.08
B18,682.52,4.05
B19,558.52,4.02
B2,18086.2,2.73
B20,400.13,2.81
B21,423.42,3.82
B22,,
B23,339.95,2.58
B24,909.73,3.23
B25,422.45,3.8
B26,862.0,3.41
B27,428.18,3.48
B28,444.4,3.64
B29,1182.64,5.39
B3,11939.78,3.18
B30,444.68,2.72
B31,381.49,3.1
B32,385.85,3.25
B33,396.44,4.29
B34,337.82,3.52
B35,1697.31,10.16
B36,395.23,4.73
B37,1272.08,3.18
B38,423.43,2.55
B4,41337.52,4.33
B40,74738.93,
B42,455.47,3.22
B43,383.2,4.16
B44,438.26,3.69
B45,643.15,3.39
B46,788.05,3.07
B47,563.38,3.66
B48,956.92,4.46
B49,742.54,2.97
B5,2317.43,3.78
B50,558.11,2.8
B6,2518.98,6.95
B60,609.1,2.53
B61,595.93,3.16
B62,726.43,2.44
B63,394.09,2.28
B64,540.92,5.77
B65,381.54,3.72
B66,827.62,4.13
B67,317.14,2.93
B68,320.32,2.65
B69,1611.07,2.37
B7,1138.13,7.76
B70,608.13,3.86
B71,313.27,2.84
B72,647.88,2.22
B73,633.63,2.58
B74,743.03,4.12
B75,546.54,3.48
B76,1512.11,3.14
B77,579.09,2.2
B78,982.91,3.37
B79,604.17,2.44
B8,499.12,3.33
B80,605.71,2.58
B9,821.01,3.04
B90,871.34,2.77
B91,905.63,2.85
B92,485.91,2.83
B93,844.02,2.52
B94,976.09,3.41
B95,1071.38,3.23
B96,722.2,2.97
B97,512.1,1.97
B98,1041.62,2.17
B99,,
BA1,1224.75,4.99
BA10,748.66,3.84
BA11,712.74,3.5
BA12,615.27,2.94
BA13,549.6,2.73
BA14,496.67,2.31
BA15,650.71,3.06
BA16,548.79,3.68
BA2,972.21,3.67
BA20,616.72,2.63
BA21,517.61,2.09
BA22,677.8,3.09
BA3,561.68,2.74
BA4,651.7,3.43
BA5,803.5,3.28
BA6,628.17,2.88
BA7,684.09,2.72
BA8,672.26,3.28
BA9,811.25,3.01
BB0,,
BB1,841.88,3.15
BB10,372.85,1.69
BB11,424.25,2.05
BB12,446.76,1.69
BB18,353.92,1.77
BB2,539.21,2.83
BB3,360.71,2.39
BB4,490.82,2.51
BB5,386.06,1.84
BB6,553.85,2.3
BB7,607.36,2.89
BB8,393.09,2.36
BB9,321.27,1.97
BB94,,
BD1,2730.35,3.39
BD10,383.08,2.46
BD11,474.86,2.05
BD12,354.33,2.43
BD13,360.18,1.87
BD14,333.32,2.68
BD15,344.21,2.47
BD16,523.93,2.17
BD17,546.08,2.1
BD18,399.07,2.01
BD19,669.15,2.88
BD2,391.76,2.51
BD20,472.94,1.93
BD21,440.02,2.06
BD22,403.52,2.04
BD23,695.96,3.56
BD24,623.57,1.82
BD3,640.85,3.41
BD4,641.59,2.98
BD5,524.12,2.18
BD6,312.78,2.49
BD7,598.08,2.26
BD8,402.09,2.56
BD9,388.65,2.36
BD97,,
BD98,,
BD99,17252.53,
BH1,1039.82,3.07
BH10,485.76,3.48
BH11,570.26,3.29
BH12,740.52,3.24
BH13,1365.95,4.79
BH14,748.09,3.69
BH15,920.19,3.09
BH16,603.82,3.24
BH17,528.73,2.72
BH18,634.02,4.92
BH19,712.32,2.32
BH2,1430.79,3.11
BH20,664.26,3.41
BH21,824.52,3.67
BH22,723.38,3.25
BH23,897.07,3.43
BH24,844.57,3.95
BH25,686.49,3.84
BH3,830.31,3.26
BH31,713.1,2.93
BH4,1035.5,2.74
BH5,599.64,2.85
BH6,565.38,3.21
BH7,573.89,2.63
BH8,923.07,3.32
BH9,438.74,3.66
BL0,429.42,2.81
BL1,776.82,3.03
BL11,,
BL2,449.99,2.35
BL3,518.48,2.32
BL4,538.51,3.16
BL5,828.49,2.14
BL6,525.98,2.62
BL7,592.52,2.04
BL78,,
BL8,467.69,2.48
BL9,720.97,2.83
BN1,1320.49,3.7
BN10,519.85,4.46
BN11,635.71,4.26
BN12,563.14,2.74
BN13,663.26,3.73
BN14,546.2,2.2
BN15,556.3,5.15
BN16,689.58,3.55
BN17,788.2,2.95
BN18,940.34,4.43
BN2,862.76,4.63
BN20,682.99,3.09
BN21,706.99,3.3
BN22,473.45,2.71
BN23,669.93,3.25
BN24,703.52,2.87
BN25,643.01,3.52
BN26,807.34,4.51
BN27,695.76,3.35
BN3,898.76,3.85
BN4,231.87,
BN41,442.59,4.04
BN42,542.67,2.91
BN43,654.4,5.4
BN44,768.39,4.4
BN45,982.8,
BN5,949.92,3.87
BN50,,
BN51,,
BN52,,
BN6,850.26,4.56
BN7,951.08,4.44
BN8,863.3,4.25
BN88,,
BN9,641.04,2.42
BN91,,
BN95,,
BN99,27095.62,
BR1,958.74,3.32
BR2,635.87,2.96
BR3,688.85,2.92
BR4,609.26,3.42
BR5,708.53,3.82
BR6,755.79,3.68
BR7,828.26,5.13
BR8,940.34,3.44
BR98,,
BS0,,
BS1,5320.9,4.29
BS10,673.5,3.99
BS11,1789.53,3.39
BS12,382.72,
BS13,440.3,4.02
BS14,523.65,3.56
BS15,415.73,3.65
BS16,596.81,4.46
BS17,1129.69,
BS18,639.02,
BS19,549.95,
BS2,1745.89,4.15
BS20,649.65,3.34
BS21,586.71,2.3
BS22,420.84,2.77
BS23,605.57,2.47
BS24,605.5,3.42
BS25,678.61,3.16
BS26,634.09,2.46
BS27,560.4,2.53
BS28,796.23,3.02
BS29,560.2,2.91
BS3,682.89,4.15
BS30,608.43,3.22
BS31,589.04,3.66
BS32,1952.91,3.49
BS34,796.22,5.27
BS35,1145.08,3.13
BS36,626.59,3.55
BS37,558.41,2.74
BS38,,
BS39,567.91,4.37
BS4,673.8,4.16
BS40,762.97,3.33
BS41,590.58,3.33
BS48,675.28,4.69
BS49,571.79,2.37
BS5,581.97,4.99
BS6,599.33,3.73
BS7,466.69,4.53
BS77,,
BS8,724.67,4.32
BS80,,
BS9,575.39,4.21
BS98,,
BS99,,
CA1,652.18,1.96
CA10,569.7,2.92
CA11,623.02,3.65
CA12,749.48,3.47
CA13,465.26,3.96
CA14,477.78,1.95
CA15,294.72,2.3
CA16,541.46,1.64
CA17,561.28,2.55
CA18,727.85,
CA19,478.01,
CA2,362.78,1.72
CA20,338.41,1.46
CA21,311.65,
CA22,307.0,
CA23,427.16,
CA24,331.93,
CA25,266.82,2.33
CA26,307.68,1.53
CA27,355.53,
CA28,341.1,3.16
CA3,476.04,2.36
CA4,669.77,3.08
CA5,594.02,2.74
CA6,733.14,1.39
CA7,485.6,2.62
CA8,549.23,2.25
CA9,441.9,5.64
CA95,,
CA99,,
CB1,1271.83,4.66
CB10,1179.58,3.13
CB11,916.13,3.61
CB2,1656.1,4.64
CB21,869.42,3.36
CB22,877.79,3.08
CB23,952.86,2.99
CB24,590.74,2.53
CB25,546.95,2.86
CB3,1541.4,6.06
CB4,1448.05,3.63
CB5,1430.84,4.12
CB6,482.59,2.86
CB7,493.64,2.54
CB8,1043.43,3.27
CB9,492.55,3.45
CH1,1343.78,2.66
CH2,473.19,2.06
CH25,,
CH26,,
CH27,,
CH28,,
CH29,,
CH3,621.38,3.4
CH30,,
CH31,,
CH32,,
CH33,,
CH34,,
CH4,734.12,4.24
CH41,588.17,3.24
CH42,371.78,2.39
CH43,423.68,2.07
CH44,306.74,2.39
CH45,491.2,2.19
CH46,328.82,2.77
CH47,555.86,3.45
CH48,643.63,2.86
CH49,470.12,3.37
CH6,,
CH60,632.49,2.79
CH61,427.42,2.56
CH62,871.43,2.43
CH63,450.93,2.88
CH64,560.88,2.68
CH65,1029.22,2.39
CH66,380.0,1.99
CH70,,
CH88,,
CH99,8397.25,
CM0,621.3,3.54
CM1,1210.47,3.07
CM11,648.37,4.41
CM12,683.01,3.12
CM13,1044.6,5.02
CM14,1238.06,3.03
CM15,776.17,3.88
CM16,1011.63,4.96
CM17,693.33,3.96
CM18,495.01,3.16
CM19,889.26,4.48
CM2,1087.22,2.95
CM20,1479.36,3.79
CM21,696.09,3.13
CM22,807.12,3.63
CM23,793.72,2.84
CM24,2348.51,2.21
CM3,773.52,3.87
CM4,1091.64,3.11
CM5,1012.08,6.05
CM6,779.36,3.27
CM7,611.68,3.13
CM77,1046.25,3.0
CM8,674.67,2.51
CM9,706.01,4.0
CM92,,
CM98,,
CM99,,
CO1,1068.05,2.47
CO10,737.59,3.16
CO11,534.41,2.61
CO12,522.13,3.01
CO13,683.56,3.88
CO14,541.98,4.29
CO15,543.08,3.5
CO16,720.21,4.17
CO2,566.81,2.82
CO3,639.82,2.73
CO4,792.53,3.2
CO5,644.07,2.69
CO6,728.78,3.67
CO7,669.16,3.51
CO8,921.94,
CO9,666.63,3.84
CR0,1105.88,3.45
CR2,612.71,2.82
CR3,734.42,3.24
CR4,532.9,3.81
CR44,,
CR5,628.77,4.23
CR6,1034.66,4.16
CR7,494.16,3.28
CR8,762.29,3.07
CR9,27649.34,
CR90,,
CT1,901.13,2.31
CT10,1487.16,2.93
CT11,501.25,2.97
CT12,867.03,3.75
CT13,730.95,3.42
CT14,571.74,3.01
CT15,660.24,3.05
CT16,520.88,2.35
CT17,537.63,3.37
CT18,545.44,2.22
CT19,450.86,3.17
CT2,599.92,2.61
CT20,617.58,3.09
CT21,1067.94,2.84
CT3,641.79,2.95
CT4,829.55,3.88
CT5,633.27,3.15
CT50,,
CT6,659.18,3.67
CT7,628.31,3.36
CT8,659.84,3.17
CT9,545.47,3.31
CV1,2202.87,3.67
CV10,747.27,2.51
CV11,678.54,2.4
CV12,384.88,2.61
CV13,735.28,2.66
CV2,659.26,2.8
CV21,698.88,1.89
CV22,488.1,2.67
CV23,1175.13,2.55
CV3,812.57,3.0
CV31,699.53,3.95
CV32,626.35,3.75
CV33,727.42,3.29
CV34,974.07,2.63
CV35,842.65,3.6
CV36,973.7,8.15
CV37,1031.57,4.23
CV4,931.89,3.93
CV47,707.15,2.79
CV5,487.09,2.82
CV6,597.33,2.95
CV7,711.27,3.13
CV8,798.61,2.72
CV9,657.56,2.17
CW1,782.7,2.1
CW10,760.66,2.47
CW11,657.46,2.08
CW12,570.17,2.49
CW2,442.45,2.23
CW3,562.82,2.73
CW4,847.82,4.07
CW5,773.19,3.18
CW6,816.49,3.78
CW7,685.72,3.14
CW8,566.01,2.61
CW9,604.48,2.21
CW98,,
DA1,714.95,3.14
DA10,525.88,2.81
DA11,774.77,2.6
DA12,463.14,2.54
DA13,629.02,3.64
DA14,1177.96,3.3
DA15,509.34,3.56
DA16,524.44,3.47
DA17,1477.48,3.88
DA18,1685.13,
DA2,819.27,3.96
DA3,687.35,3.54
DA4,705.5,2.75
DA5,548.99,3.8
DA6,641.59,2.9
DA7,462.52,3.18
DA8,952.92,3.56
DA9,917.08,2.91
DE1,1516.45,2.77
DE11,465.62,1.88
DE12,875.19,2.14
DE13,572.15,2.09
DE14,1124.42,1.91
DE15,495.09,3.45
DE2,578.95,
DE21,612.1,2.22
DE22,455.93,2.24
DE23,366.22,2.07
DE24,740.65,2.18
DE3,483.77,2.59
DE4,599.51,2.87
DE45,781.8,3.02
DE5,861.2,1.99
DE55,633.79,2.45
DE56,558.21,2.74
DE6,733.45,2.25
DE65,728.05,2.04
DE7,380.92,2.38
DE72,493.84,3.04
DE73,557.81,2.53
DE74,1619.76,1.76
DE75,387.61,2.76
DE99,,
DG16,601.79,
DH1,1038.44,2.88
DH2,351.58,2.66
DH3,414.72,1.89
DH4,368.18,1.91
DH5,323.94,1.9
DH6,306.82,1.84
DH7,381.56,2.06
DH8,372.02,2.07
DH9,360.54,1.65
DH97,,
DH98,,
DH99,1496.43,
DL1,747.51,1.96
DL10,547.84,2.0
DL11,665.5,1.9
DL12,594.8,1.95
DL13,469.85,2.06
DL14,395.17,1.76
DL15,348.57,1.76
DL16,910.85,1.64
DL17,343.8,1.79
DL2,684.8,2.8
DL3,460.16,1.72
DL4,299.81,1.66
DL5,829.65,1.91
DL6,677.43,2.77
DL7,605.16,2.24
DL8,606.94,2.07
DL9,421.83,1.68
DL98,,
DN1,1029.11,1.94
DN10,539.78,2.43
DN11,529.44,2.27
DN12,389.75,2.52
DN14,561.55,2.07
DN15,704.92,1.78
DN16,346.59,2.12
DN17,440.89,1.88
DN18,449.35,1.77
DN19,358.56,1.87
DN2,503.88,1.89
DN20,441.08,1.9
DN21,474.06,1.84
DN22,494.34,2.05
DN3,459.0,2.52
DN31,605.18,2.32
DN32,453.2,2.1
DN33,341.96,2.88
DN34,307.44,3.18
DN35,417.33,2.63
DN36,454.91,2.93
DN37,462.23,2.73
DN38,473.67,
DN39,449.55,3.42
DN4,618.79,1.83
DN40,330.97,2.2
DN41,452.05,2.37
DN5,391.48,1.85
DN55,,
DN6,773.63,1.89
DN7,447.47,2.19
DN8,474.08,2.0
DN9,492.83,2.03
DT1,612.92,2.97
DT10,717.35,2.36
DT11,630.76,3.48
DT2,747.96,3.23
DT3,741.25,2.99
DT4,684.19,2.82
DT5,423.84,2.36
DT6,738.94,3.71
DT7,782.05,4.15
DT8,720.55,3.34
DT9,727.78,2.48
DY1,614.79,2.33
DY10,628.23,2.7
DY11,662.75,2.17
DY12,818.53,3.23
DY13,552.51,2.09
DY14,2361.64,2.82
DY2,395.28,2.62
DY3,487.17,2.37
DY4,423.63,2.9
DY5,542.47,3.12
