outcode,avg_asking_price,avg_asking_price_1bed,avg_asking_price_2beds,avg_asking_price_3beds,avg_asking_price_4beds,avg_asking_price_5beds,days_on_market,Sales per month,Sale/List Ratio
AL1,617044,285602,442212,686515,1129565,1885938,181 days,55.36,71.26
AL10,396676,194913,284843,432369,568878,603824,176 days,41.59,54.92
AL2,642219,242913,398791,606785,835789,1067105,138 days,52.61,51.24
AL3,797264,226750,475773,675000,943071,1478864,178 days,36.4,71.76
AL4,749391,258330,411962,666963,995083,1280583,136 days,45.66,69.08
AL5,779548,279000,481729,785877,1203781,1583214,181 days,31.82,88.02
AL6,951465,140000,446790,856205,1014265,1591725,243 days,14.57,53.39
AL7,354577,191445,268443,473663,591212,825000,152 days,40.46,71.71
AL8,559859,245500,411925,557081,854167,977499,142 days,17.96,68.24
AL9,928237,230000,386448,630230,1120764,1804750,215 days,20.79,39.6
B1,249170,177039,264578,430926,473750,1500000,363 days,38.76,17.27
B10,247432,134436,159992,234167,264000,352500,219 days,5.89,46.51
B11,240753,95190,184643,248141,287150,377800,151 days,16.29,68.29
B12,232510,193452,267559,243133,313790,350000,331 days,16.86,12.9
B13,353095,122917,204604,322184,488273,633628,192 days,30,79.69
B14,290810,186892,198695,280831,403468,441429,117 days,43.33,107.1
B15,388035,162882,245982,454273,941000,1224500,247 days,38.38,19.3
B16,238722,168637,207812,301719,424712,542615,252 days,34.29,19.44
B17,462061,130350,254548,414846,646642,676939,165 days,40,52.27
B18,235983,191497,217768,260215,358750,316667,190 days,16.89,42.99
B19,261398,144250,203474,217727,268744,323317,221 days,5.84,27.91
B2,198645,174575,269667,-,-,-,250 days,2.4,20
B20,334880,72643,137848,282310,409543,502300,219 days,16.99,49.19
B21,248552,140450,194279,217068,291327,333317,216 days,9.58,63.77
B23,201428,90698,149395,230876,271716,236661,177 days,41.19,74.49
B24,273039,98413,178419,280686,317888,389990,149 days,33.83,71.43
B25,256626,107825,196714,228226,220000,400313,190 days,6.32,107.5
B26,241759,151213,191782,264775,360931,391667,216 days,30.97,82.06
B27,257046,102488,172358,256182,364964,390000,126 days,20.24,98.82
B28,358586,119167,235725,330456,460292,479166,138 days,31.3,96.53
B29,391863,101495,205750,270471,389694,477188,185 days,28.86,84.83
B3,281252,177644,322202,605995,-,-,326 days,19.05,16.91
B30,308374,156732,253565,330035,476538,468333,128 days,26.95,124.35
B31,272396,137818,173523,267473,434024,592000,109 days,70.18,86.27
B32,262944,119150,195929,269556,358747,570000,123 days,37.56,93.51
B33,256867,117500,209963,230308,345000,345000,161 days,16.02,117.44
B34,243701,90000,189993,251340,307000,469983,111 days,16.76,125.81
B35,189358,52000,132500,209291,251667,-,99 days,7.58,108
B36,330878,106158,195285,289909,442998,486050,146 days,28.15,111.68
B37,238848,101000,172361,222959,358929,514990,136 days,25.59,112.07
B38,333586,139983,223744,272331,523000,889667,112 days,30,65.18
B4,272319,205693,334990,436599,-,-,292 days,11.61,10.62
B42,233937,146806,173452,231414,411563,441650,278 days,14.46,94.03
B43,292075,104778,205688,292897,368710,403000,133 days,35.41,86.62
B44,214531,65000,161998,222048,273000,348333,132 days,28.18,134.68
B45,443974,81000,234056,300318,567995,1039375,135 days,37.78,81.76
B46,488110,138600,265154,322234,559032,734286,114 days,28.16,55.14
B47,426096,165000,271906,397478,579227,775000,133 days,12.86,98.25
B48,631624,210000,302495,463571,784286,982778,141 days,8.51,57.5
B49,488171,112527,266365,338056,644773,1292000,205 days,14.34,102.04
B5,217945,170539,261651,329523,391000,-,317 days,26.4,11.83
B50,400111,235000,214922,311920,524048,699200,119 days,17.65,70
B6,199663,150500,149999,205938,213750,329975,527 days,1.71,46.67
B60,421963,117464,229735,378838,596954,821667,129 days,43.26,87.63
B61,413566,189999,230471,335249,524042,619231,121 days,49.59,58.5
B62,405121,142500,274405,341457,489465,753333,117 days,42.05,57.32
B63,280430,119105,173605,270052,395753,568440,121 days,64.46,65.77
B64,265448,83750,190163,250289,429612,562500,123 days,22.68,64.52
B65,236848,126667,161657,238916,372960,425000,142 days,19.44,83.7
B66,235110,136500,184476,236250,323495,485000,171 days,13.51,33.77
B67,249095,110000,195748,255978,332500,396250,144 days,24.58,57.63
B68,270970,70000,197225,262437,379375,372000,135 days,25.78,88.79
B69,236157,89231,173107,243164,380882,525000,153 days,28.43,67.59
B7,380818,100000,151333,213333,260000,290000,239 days,1.38,54.55
B70,215646,124059,166336,240369,280000,450000,179 days,17.6,42.86
B71,252448,95875,169124,270262,341538,500000,150 days,31,52.9
B72,433512,115694,244277,430530,603838,656958,192 days,20.31,46.15
B73,394060,126479,223233,388891,530045,826123,227 days,36.08,50.92
B74,699883,147913,284619,430472,776234,1182272,172 days,54.07,67.42
B75,487628,112232,255671,396998,648876,896280,122 days,67.38,60.58
B76,411727,132857,221256,355909,545606,657273,149 days,49.93,47.18
B77,296115,104735,199161,267455,396796,452904,133 days,78.27,71.76
B78,442234,150000,247318,313037,518626,951923,141 days,40.64,59.69
B79,404970,130590,231051,308298,478413,690471,125 days,59.76,61.04
B8,215486,43333,174995,236153,281681,-,194 days,12.06,66.67
B80,419417,165623,253499,358333,627136,950000,126 days,11.67,61.22
B9,211444,145667,171268,213414,298738,324975,181 days,8.62,44.23
B90,364800,169759,238242,390482,563050,666053,141 days,89.57,74.35
B91,515375,210549,253505,449951,654711,1016528,158 days,69.49,52.19
B92,382235,114799,206435,354417,599497,988750,132 days,62.27,70.44
B93,675928,258217,334688,550325,820726,1154286,174 days,31.9,67.03
B94,882095,246650,362053,468000,930415,1663077,151 days,16.49,45.78
B95,867032,202375,259160,567611,1265381,1933750,173 days,12.31,66.2
B96,565050,153750,302500,504667,742727,1044286,136 days,11.03,84
B97,344815,135105,200499,320728,454233,538258,136 days,47.87,75.58
B98,300625,98000,231327,250896,403946,615000,134 days,35.37,107.59
BA1,704939,306528,461280,613063,989672,1459500,171 days,68.07,71.13
BA10,698103,-,343250,383263,621667,1396429,170 days,7.59,46.51
BA11,508811,191290,285681,384584,623467,803219,140 days,74.79,48.14
BA12,401819,116129,233567,367301,548675,896250,140 days,63.86,55.03
BA13,363275,98975,219500,295814,463788,556000,219 days,26.85,61.73
BA14,371684,144650,215968,317286,491440,619048,165 days,47.82,123.57
BA15,521940,281869,293423,503607,713947,962857,241 days,9.71,111.54
BA16,381877,130161,213103,317581,429456,549990,145 days,20.07,74.23
BA2,620522,244946,398925,523957,808112,1009238,137 days,110.36,77.78
BA20,342256,97375,195914,342375,469000,573333,171 days,12.28,77.14
BA21,299269,107143,194870,259385,448999,481722,128 days,42.89,88.52
BA22,480217,101875,238751,362899,592954,842775,150 days,37.2,48.39
BA3,494647,170190,270365,434933,588367,844074,128 days,71.02,61.06
BA4,467175,157492,251559,382090,540220,945176,168 days,33.39,60.96
BA5,592993,178272,246022,414822,738687,1161386,173 days,36.07,78.85
BA6,545110,121571,223711,357781,538757,838794,152 days,30.39,61.69
BA7,544056,296667,246421,370000,467750,2330000,195 days,5.38,48.57
BA8,496121,150000,265556,404300,481250,775000,141 days,14.04,27.27
BA9,440980,100064,273600,320566,655197,637429,154 days,21.23,64.22
BB1,233105,94158,143196,201430,340900,646111,130 days,55.15,76.57
BB10,240210,78999,130709,198833,388470,375700,122 days,57.3,78.54
BB11,159325,53571,82556,144711,303488,275825,149 days,33.42,87.95
BB12,243685,63740,127857,220818,372523,680222,101 days,66.24,100.9
BB18,265035,177488,154884,200516,402226,551658,144 days,32.5,62.18
BB2,252037,69749,128261,218233,361397,531044,153 days,71.57,67.67
BB3,253014,168167,113131,205000,364904,507517,112 days,88.93,70.18
BB4,352419,119521,178204,299608,470378,604117,154 days,79.48,58.82
BB5,179448,91623,118812,186806,325931,190000,112 days,77.68,103.79
BB6,251624,79900,140705,256540,354599,549994,128 days,32.58,53.96
BB7,428939,155287,196235,290549,619595,695538,160 days,64.69,56.81
BB8,260689,117114,135493,240869,459385,434979,161 days,38.76,52.4
BB9,227384,102488,117377,215536,313222,594240,133 days,53.68,74.37
BD1,63434,55344,75874,-,178000,-,331 days,9.97,27.27
BD10,286609,124983,183806,258418,399285,511250,122 days,51.39,73.21
BD11,354208,103315,176043,286872,429014,510124,128 days,16.17,120.29
BD12,235864,68113,132496,222594,368852,367843,110 days,26.18,103.12
BD13,255866,89695,152393,234931,336739,382688,135 days,49.56,76.23
BD14,250670,69750,139444,250255,327500,308317,132 days,9.77,120.93
BD15,285653,80000,158272,251382,419714,472000,147 days,18.78,84.78
BD16,293348,116264,178010,272111,442603,681534,163 days,45.64,54.84
BD17,335109,90882,196081,304551,497022,577500,170 days,31.06,60.8
BD18,275024,169990,171205,226203,334474,390488,132 days,25,111.82
BD19,311738,136414,162239,280323,404525,570413,134 days,32.91,86.39
BD2,216730,97143,160351,199386,269885,468333,112 days,36.96,98.55
BD20,341906,119685,202444,290344,452710,562939,152 days,72.83,58.27
BD21,192137,49605,126217,199238,297495,361000,173 days,14.74,80
BD22,324463,140589,185244,240053,435915,605778,107 days,52.99,84.66
BD23,458627,167283,231499,360608,593690,792809,155 days,87.68,36.87
