outcode,Single,Married,Seperated,Divorced,Widowed
AL1,12299,15861,652,2343,1603
AL10,18163,10940,680,2392,1298
AL2,6693,10565,391,1763,1277
AL3,7146,12365,452,1850,1438
AL4,6422,11507,359,1660,1179
AL5,6008,14219,415,1659,1320
AL6,3222,7074,195,875,814
AL7,11384,12322,719,2722,1642
AL8,3046,5305,215,831,708
AL9,2779,4617,149,646,517
B1,9460,2453,230,654,178
B10,9298,11454,721,1013,1173
B11,14194,17976,1123,1947,1750
B12,8248,6948,610,1046,800
B13,13168,12962,759,2392,1700
B14,14788,13019,819,3008,1990
B15,13965,5759,341,965,702
B16,11592,6487,581,1228,603
B17,10244,9758,441,1609,1270
B18,7976,4871,594,1082,600
B19,9879,7016,656,1070,770
B2,494,103,21,28,26
B20,12995,13818,843,1814,1481
B21,8341,9104,681,1283,1155
B22,91,62,3,33,15
B23,20105,13795,1358,3803,2274
B24,10468,8903,663,2047,1419
B25,5436,5974,350,979,724
B26,11836,12597,689,2333,1929
B27,9518,8795,659,1866,1330
B28,8249,11770,467,1439,1417
B29,24701,10704,730,2168,1697
B3,1145,212,18,48,2
B30,10477,9378,570,2165,1421
B31,19986,17106,1207,4505,2904
B32,12989,11284,825,2680,1676
B33,12056,9697,773,2216,1570
B34,7112,5745,426,1328,1067
B35,3534,1923,197,698,485
B36,11805,12568,700,2104,1834
B37,12804,9485,766,2692,1835
B38,6079,5667,380,1361,1006
B4,6826,611,66,84,42
B42,8974,9866,561,1771,1315
B43,8617,11948,518,1890,1906
B44,11851,9400,743,2364,1609
B45,10005,11155,610,2426,1603
B46,3868,5979,257,1074,891
B47,2327,4889,139,674,740
B48,1239,2455,98,398,303
B49,2765,5691,220,1109,828
B5,4206,2240,192,523,249
B50,1761,3111,119,573,359
B6,5966,5802,424,743,669
B60,8218,12870,577,2512,1766
B61,6386,9221,422,2090,1221
B62,7331,11218,450,1780,1638
B63,10609,13473,671,2916,2086
B64,6400,6403,414,1486,998
B65,7976,8649,550,1823,1561
B66,9539,10501,787,1461,1147
B67,8107,9267,520,1546,1294
B68,9467,11291,631,2138,1672
B69,8918,10055,560,1936,1308
B7,2935,1991,257,504,246
B70,10770,12096,668,2015,1711
B71,9949,11063,697,1989,1711
B72,3490,5566,191,778,809
B73,5172,8948,281,1202,1147
B74,7104,15611,401,1901,2214
B75,6709,11212,372,1727,1422
B76,4771,8090,256,1319,1096
B77,16697,21504,1058,4523,2678
B78,6999,10082,448,2005,1310
