outcode,Christian,Buddhist,Hindu,Muslim,Others,None
AL1,17467,265,723,3219,737,2688
AL10,18686,451,2325,2337,726,3329
AL2,12163,131,819,1300,1660,1502
AL3,14541,95,355,1143,453,1779
AL4,13082,144,482,805,483,1641
AL5,16464,110,421,509,481,1818
AL6,7529,54,217,183,270,832
AL7,16004,238,707,819,592,2139
AL8,5859,99,206,170,209,751
AL9,5595,22,237,268,375,681
B1,4496,139,433,2385,328,991
B10,2456,18,183,26934,257,1851
B11,5715,56,962,37993,1008,2809
B12,3576,78,206,15265,428,1424
B13,11257,163,950,12166,1408,2376
B14,17458,142,596,6149,846,2465
B15,7597,222,1580,3746,1487,2235
B16,7985,188,802,7291,1662,1651
B17,11004,157,1171,3729,2465,1845
B18,6315,96,468,7440,1454,1295
B19,5996,115,247,16005,399,1850
B2,184,16,19,73,26,45
B20,9089,245,1532,17253,6144,2475
B21,6770,163,1763,9156,6094,1429
B22,110,0,1,21,2,17
B23,23980,193,621,9439,1000,3489
B24,13437,122,318,5373,490,1795
B25,5243,28,224,8905,296,989
B26,16636,88,420,6620,718,1915
B27,10569,78,788,7813,1001,1631
B28,8788,60,1612,11677,1778,1602
B29,17741,292,1048,4645,1277,3634
B3,437,8,38,111,51,127
B30,13214,125,357,1964,457,1699
B31,28003,215,352,2698,621,3273
B32,17966,134,544,3804,1229,2187
B33,12541,82,217,11131,293,2314
B34,7699,33,33,5516,137,1206
B35,3934,18,22,319,54,473
B36,15401,64,120,8432,309,2113
B37,16602,86,165,652,325,2038
B38,8896,64,152,1053,296,1121
B4,1974,56,411,1246,281,1808
B42,11934,122,926,5648,2238,1634
B43,14455,93,1075,1902,3912,1512
B44,16020,138,489,2615,619,2092
B45,15664,90,202,608,472,1780
B46,8492,39,52,57,103,664
B47,6275,31,116,148,159,540
B48,2872,8,16,15,69,341
B49,7327,41,40,26,96,710
B5,2526,112,244,3397,247,639
B50,4152,11,19,17,55,350
B6,3064,74,141,12947,179,1074
B60,16685,100,175,295,432,1865
B61,12076,69,119,139,292,1278
B62,13437,66,247,1685,1295,1504
B63,18070,89,96,2362,564,1898
B64,8323,52,102,1968,350,1448
B65,12165,67,258,1238,1293,1292
B66,8030,94,889,12381,5260,1770
B67,9297,70,582,4380,5059,1336
B68,13250,63,679,3501,4133,1598
B69,11630,54,798,2923,4208,1844
B7,2400,39,27,4660,91,517
B70,11482,184,2316,6684,6790,1739
B71,14505,86,1020,2201,4573,1673
B72,6452,41,325,758,412,832
B73,10613,81,435,861,938,1107
B74,17576,110,1000,1034,3010,1563
B75,13970,95,578,997,898,1402
B76,10945,72,309,541,453,894
B77,27973,138,161,276,411,2844
B78,13480,51,59,79,182,1234
B79,13027,40,52,79,189,1222
B8,4395,49,110,36802,250,2505
B80,4674,11,35,102,88,456
B9,2513,31,78,18052,165,1196
B90,24995,154,2366,3047,1942,2646
B91,17740,100,2088,2560,1738,1757
B92,16351,133,821,3144,925,1604
B93,12144,43,223,349,426,972
B94,4533,9,73,99,107,330
B95,4115,29,20,15,68,313
B96,2894,10,11,16,58,243
B97,17505,74,150,1389,258,1947
B98,22510,104,150,2164,433,2588
BA1,19585,415,344,609,521,3651
BA10,2588,27,8,13,66,438
BA11,16123,188,44,95,417,2662
BA12,16109,177,144,97,261,1963
BA13,10254,71,40,107,206,1299
BA14,24506,189,107,687,414,3095
BA15,6490,70,26,57,115,915
BA16,6822,56,44,96,186,1089
BA2,30420,388,420,1017,682,5837
BA20,7632,34,59,93,81,1062
BA21,17606,108,144,369,179,2294
BA22,10418,59,38,48,149,1163
BA3,17766,104,48,108,250,2443
BA4,9126,77,15,54,169,1242
BA5,9856,102,32,35,204,1257
BA6,5691,135,26,41,495,1082
BA7,2054,9,1,12,31,232
BA8,2951,21,6,4,43,306
BA9,3956,18,8,28,55,470
BB0,96,0,1,298,1,30
BB1,22889,135,262,37842,258,3721
BB10,18877,97,99,11723,175,2444
BB11,12805,57,57,1043,127,1249
BB12,19443,100,52,1963,173,1848
BB18,8994,47,7,442,104,1025
BB2,28387,108,240,15213,245,3124
