outcode,Avg asking rent(p/m),Avg asking rent(1 bed),Avg asking rent(2 beds),Avg asking rent(3 beds),Avg asking rent(4 beds),Avg asking rent(5 beds),avg_gross_yield
AL1,2148.0,1737,2154,2555,2792,3350,4.18
AL10,1549.0,876,1361,1788,2025,2426,4.69
AL2,1962.0,1222,2175,1830,2650,4175,3.67
AL3,2332.0,1254,2040,2462,3500,3950,3.51
AL4,2350.0,-,1650,1921,4500,3333,3.76
AL5,2433.0,1249,1729,2327,3204,6000,3.75
AL6,2809.0,1283,1817,2434,4500,3400,3.54
AL7,1510.0,1100,1410,2033,-,-,5.11
AL8,1592.0,1250,1500,1750,2050,-,3.41
AL9,2423.0,1600,2029,2338,2933,4798,3.13
B1,1702.0,1148,1771,3488,4524,-,8.2
B10,1041.0,725,-,1100,-,1500,5.05
B11,1279.0,824,1000,1163,3650,-,6.37
B12,1251.0,887,1357,1936,2717,-,6.46
B13,1164.0,962,1313,1409,1850,2900,3.96
B14,1177.0,925,896,1220,1648,4427,4.86
B15,1667.0,1148,1568,2703,2353,3302,5.16
B16,1410.0,923,1428,2475,2153,2452,7.09
B17,1606.0,738,1289,1527,2298,2162,4.17
B18,1446.0,1122,1375,2761,1275,1650,7.35
B19,1309.0,1314,1585,1613,2400,1349,6.01
B2,1076.0,1002,1311,-,-,-,6.5
B20,1059.0,725,1596,1127,1533,-,3.79
B21,1295.0,648,919,1249,1350,-,6.25
B23,972.0,620,1021,1229,2050,2222,5.79
B24,1258.0,667,978,1308,1824,3928,5.53
B25,1426.0,786,1025,1483,4200,1500,6.67
B26,1356.0,897,1045,1600,1615,-,6.73
B27,1330.0,730,1050,1329,6605,5507,6.21
B28,1605.0,600,1133,1299,4416,-,5.37
B29,2193.0,906,1173,1467,1667,2438,6.72
B3,1444.0,1069,1729,2763,1208,-,6.16
B30,1197.0,823,1553,1438,1791,2490,4.66
B31,1228.0,619,994,1255,1850,3253,5.41
B32,1310.0,694,998,1268,1861,6168,5.98
B33,1459.0,775,1049,1233,1450,1600,6.82
B34,1189.0,-,460,1432,-,-,5.85
B35,3315.0,-,-,3315,-,-,21.01
B36,1788.0,-,1149,1144,1575,6480,6.48
B37,1123.0,-,1000,1181,1700,-,5.64
B38,1025.0,700,838,1213,-,-,3.69
B4,1507.0,1213,1622,3644,-,-,6.64
B42,1268.0,700,965,1213,-,-,6.5
B43,1786.0,700,1025,1751,1200,5330,7.34
B44,1334.0,773,961,1391,1600,4501,7.46
B45,1513.0,1142,1075,1119,1500,3500,4.09
B46,1454.0,-,1133,1300,1810,-,3.57
B47,1754.0,-,1263,1617,2400,-,4.94
B48,2183.0,-,-,2100,-,2350,4.15
B49,1352.0,850,1123,850,-,-,3.32
B5,1557.0,1036,1640,2358,3016,3404,8.57
B50,1375.0,-,-,1375,-,-,4.12
B6,2087.0,1000,2495,1275,3400,2954,12.54
B60,1247.0,711,971,1375,1583,3500,3.55
B61,1395.0,669,1006,1905,2030,-,4.05
B62,1043.0,825,798,1138,1415,-,3.09
B63,916.0,650,898,1191,1375,-,3.92
B64,2100.0,678,859,3367,3723,4895,9.49
B65,1379.0,725,2425,996,-,-,6.99
B66,1493.0,838,1525,2306,2282,-,7.62
B67,1093.0,625,983,1245,1898,3171,5.27
B68,1041.0,659,850,1473,-,-,4.61
B69,881.0,750,884,1107,1600,-,4.48
B7,2332.0,856,-,2615,3552,-,7.35
B70,1332.0,756,1331,1269,-,-,7.41
B71,1094.0,755,915,1386,1650,-,5.2
B72,1263.0,750,1098,1595,2033,-,3.5
B73,1442.0,765,932,1615,1988,3500,4.39
B74,2224.0,950,1084,1575,3347,5181,3.81
B75,1864.0,913,1009,1414,2500,2438,4.59
B76,1618.0,834,1500,1315,2363,1900,4.72
B77,966.0,539,795,1141,1475,-,3.91
B78,1470.0,725,1100,1471,1900,-,3.99
B79,1051.0,733,1144,1175,2100,-,3.11
B8,1076.0,800,1045,-,2057,-,5.99
B80,1162.0,763,1206,1400,1500,-,3.32
B9,1072.0,367,1035,1250,-,2600,6.08
B90,1420.0,1038,1208,1558,2108,-,4.67
B91,1687.0,1055,1235,2037,2685,2995,3.93
B92,1379.0,904,1117,1618,1723,-,4.33
B93,1481.0,918,1131,1586,2167,3500,2.63
B94,1946.0,1250,1531,2750,-,3500,2.65
B95,1600.0,1950,1250,1700,-,1850,2.21
B96,1500.0,700,-,1263,3250,-,3.19
B97,912.0,880,881,1185,-,-,3.17
B98,951.0,729,923,1056,1250,1600,3.8
BA1,2662.0,1790,2049,2649,3629,5320,4.53
BA10,1870.0,-,1150,1767,-,2900,3.21
BA11,1636.0,888,1192,1489,2017,2225,3.86
BA12,1383.0,783,925,1453,2100,-,4.13
BA13,1268.0,-,875,1250,1833,2500,4.19
BA14,1110.0,724,957,1182,-,4150,3.58
BA15,1588.0,-,1000,1783,-,-,3.65
BA16,1549.0,700,998,1230,1445,3600,4.87
BA2,1846.0,1396,2068,2102,1915,4250,3.57
BA20,1217.0,688,870,1250,-,3750,4.27
BA21,938.0,733,932,1225,1500,-,3.76
BA22,1494.0,2088,1025,1438,1717,-,3.73
BA3,1289.0,910,1350,1523,1850,-,3.13
