outcode,in_employment,unemployed,unemployment_pct
AL1,22104,10750,32.72
AL10,19052,14484,43.19
AL2,12569,8136,39.29
AL3,14210,9061,38.94
AL4,13078,8122,38.31
AL5,14426,9204,38.95
AL6,7186,5046,41.25
AL7,18625,10223,35.44
AL8,5888,4227,41.79
AL9,5141,3607,41.23
B1,8276,4741,36.42
B10,9269,14411,60.86
B11,15382,21653,58.47
B12,7453,10211,57.81
B13,16442,14629,47.08
B14,18290,15449,45.79
B15,9459,12345,56.62
B16,11162,9361,45.61
B17,13069,10307,44.09
B18,6893,8296,54.62
B19,7647,11773,60.62
B2,396,270,40.54
B20,15032,15979,51.53
B21,9166,11426,55.49
B22,110,99,47.37
B23,21553,19936,48.05
B24,12521,11056,46.89
B25,6495,6993,51.85
B26,16382,13083,44.4
B27,11573,10633,47.88
B28,12770,10596,45.35
B29,16558,23510,58.68
B3,1098,331,23.16
B30,14010,10057,41.79
B31,25047,20786,45.35
B32,14931,14596,49.43
B33,12748,13585,51.59
B34,7802,7892,50.29
B35,3314,3519,51.5
B36,15019,14051,48.34
B37,14416,13188,47.78
B38,7252,7272,50.07
B4,1945,5686,74.51
B42,12718,9808,43.54
B43,14395,10519,42.22
B44,13905,12138,46.61
B45,14333,11509,44.54
B46,7200,4875,40.37
B47,4832,3944,44.94
B48,2562,1937,43.05
B49,5950,4683,44.04
B5,3494,3927,52.92
B50,3698,2233,37.65
B6,5421,8198,60.2
B60,15326,10706,41.13
B61,11744,7664,39.49
B62,12690,9756,43.46
B63,16654,13163,44.15
B64,8631,7120,45.2
B65,11144,9423,45.82
B66,11437,12045,51.29
B67,11330,9443,45.46
B68,13497,11718,46.47
B69,12972,9842,43.14
B7,2310,3637,61.16
B70,13349,13921,51.05
B71,13355,12098,47.53
B72,6200,4674,42.98
B73,9695,7096,42.26
B74,15280,11993,43.97
B75,12536,8966,41.7
B76,8917,6641,42.69
B77,28174,18392,39.5
B78,12551,8333,39.9
B79,11578,8626,42.69
B8,12900,19636,60.35
B80,4071,2867,41.32
B9,6643,9279,58.28
B90,24629,16322,39.86
B91,15700,12632,44.59
B92,15619,11434,42.27
B93,8831,7486,45.88
B94,3589,2510,41.15
B95,3097,2644,46.05
B96,2513,1778,41.44
B97,17765,10836,37.89
